Year,Estimate,Est.Error,Q2.5,Q97.5,Term
2001,0.975844218506052,1.15077825649199,0.700668168499414,1.29903371733272,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2002,1.01806632910286,1.13296904467447,0.800636004662659,1.34188161316896,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2003,1.0239144049672,1.1195014884648,0.816289471159935,1.31060963157406,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2004,0.914844675425825,1.1376259797863,0.668994679146487,1.12316519378534,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2005,0.94413758730775,1.13664944878736,0.70071684975817,1.19123832044787,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2006,1.03242909156547,1.11617960746865,0.837113864667703,1.3299705086367,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2007,1.011802457741,1.11851394824013,0.80033361190686,1.28371850854548,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2008,1.02124638021661,1.11738658905201,0.81675182408068,1.29752196069659,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2009,0.989751090077766,1.11437133435471,0.782588525007042,1.24410017753403,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2010,0.955167941051139,1.14078507745498,0.692951106096623,1.19531188031658,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2011,0.963274475440547,1.14243400026271,0.715334645182973,1.24597827165004,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2012,1.01989476023738,1.1422329544923,0.792742950269095,1.39360929425831,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2013,0.942474688001437,1.1399559431978,0.687341185756607,1.20520731271138,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2014,1.08627373411965,1.14708843121353,0.881198594156735,1.5178266130693,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2015,0.975954784092719,1.12753819519981,0.747191241813959,1.2501031974475,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2016,1.02486593518767,1.12096931265144,0.810700073865754,1.3267471110841,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2017,0.956602222427176,1.12213125196435,0.738278331022126,1.1700744088398,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2018,1.01436672271873,1.11704703968299,0.816335187908534,1.30652910674984,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2019,1.07397995673529,1.13037461727857,0.893297490625754,1.45788543700674,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2020,0.901877069638524,1.13638171142389,0.670742014949029,1.09552676829984,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2021,1.02499584600256,1.1080276090584,0.838242879314522,1.27502381503217,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2022,0.986263880077258,1.10756529318276,0.792488663883326,1.21295346711777,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
2023,1.16296242049365,1.17190470276163,0.945335335292667,1.70335777054465,CPUE.yy.progyy.hooks.HBF.ves.mm.sst.nina.latlong
