Year,Estimate,Est.Error,Q2.5,Q97.5,Term
2002,2.10007648594576,1.36007419377258,1.19880874491797,3.96552766932706,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2003,1.65784950179779,1.25549764335656,1.07242076445348,2.63041128306174,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2004,1.04877578221959,1.27008815685379,0.640718915404881,1.68722579253163,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2005,0.651533272256825,1.32650655557568,0.376158618474669,1.07975834651142,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2006,1.10982351470105,1.25893427123332,0.712575012540819,1.69282725369149,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2007,0.760046738253748,1.33950563546658,0.428684049755383,1.32320500168418,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2008,1.0040313732858,1.24819527818047,0.644427642503894,1.52480627135704,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2009,1.0337424077186,1.25373618195935,0.676172032000863,1.67414176492317,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2010,0.79153340591101,1.27429265719689,0.498037633976932,1.2780631062719,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2011,0.91776629747606,1.5194456239984,0.400476361448743,2.05160682092683,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2012,1.06191391150367,1.55533708395049,0.463930359083645,2.81518491520983,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2013,1.01550782134359,1.32500321928082,0.592885502366507,1.70915365347244,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2014,1.36607085118024,1.54003648050794,0.615248375306315,3.21614432649915,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2016,1.01861935032864,1.35408009858637,0.563674891379494,1.90125103210948,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2017,0.71022489171821,1.34787197281813,0.390302258554121,1.22905997754081,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2018,2.13157336511023,1.34230532654144,1.17198985419853,3.70214594742443,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2019,0.866869378983848,1.43956666583221,0.433043523299166,1.75316020584641,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2020,0.520675222833312,1.41356589392298,0.246642988903028,0.992907889059875,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2021,0.930201671043775,1.23788968198902,0.58118370193568,1.38851629153838,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2022,0.543924048467144,1.26872340892599,0.336647529546122,0.852443525612895,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2023,1.33985207807546,1.30655086936088,0.757921352864881,2.25256417343009,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
