name,year,mean,median,q025,q975,sd,n
D,1952,1.00442867954057,1.00219665514694,0.869694144660051,1.15405739991439,0.070634671052437,4000
D_Dmsy,1952,2.24078970481335,2.09299941807091,1.37163079650819,3.93649595907821,0.6613766318535,4000
F,1952,0.0210610798538602,0.0200054848585671,0.00376548937631686,0.0444381831052214,0.0101789989973566,4000
F_Fmsy,1952,0.0928386671163541,0.0891594948909796,0.0129588444661986,0.193869019875856,0.0446290514392613,4000
P,1952,442365.500914379,327086.842286997,179243.804595741,1632002.89359015,469801.984177822,4000
removals,1952,6830.51707888606,6662.25228821347,3588.10647365718,11033.9569286593,1915.65830347549,4000
D,1953,0.982945568637055,0.979358540601008,0.835221212626187,1.14952078143325,0.0798903083197346,4000
D_Dmsy,1953,2.19561020520076,2.04678623537716,1.32441424532643,3.92647249348998,0.66829987763711,4000
F,1953,0.041463628461343,0.0399516653124274,0.00750445300573657,0.0848354503306332,0.0189330010236756,4000
F_Fmsy,1953,0.181056043845857,0.176765899951878,0.0265310420425054,0.346464061915172,0.0787101586987521,4000
P,1953,435637.550412328,320253.119622501,173007.197445479,1636127.63042839,471856.179182748,4000
removals,1953,13277.5573451185,13226.183699413,8603.73960663854,18686.5049466369,2553.0062909351,4000
D,1954,0.972427425736557,0.965017798876801,0.814374802109352,1.17875288107959,0.0929486222671672,4000
D_Dmsy,1954,2.17119306283556,2.00982333935116,1.32878192523298,3.84509215252323,0.671285294482712,4000
F,1954,0.206816874183653,0.19682520212747,0.036937055533738,0.436078926613045,0.10059252277952,4000
F_Fmsy,1954,0.893873463292992,0.873514240333037,0.123336077942744,1.71372584802129,0.390515140212698,4000
P,1954,433865.060525379,315407.922203593,166964.1399254,1673049.46877888,473825.168426557,4000
removals,1954,60200.5915061106,60076.4230435952,38369.7462124204,82591.431333183,11351.9932905864,4000
D,1955,0.8289071883855,0.822497931313933,0.595715988349075,1.11055643644841,0.128790217308439,4000
D_Dmsy,1955,1.83931735364453,1.68682778668115,1.13341872056291,3.35898027380754,0.586251891979801,4000
F,1955,0.0933894806002571,0.0876070448053381,0.015418994940983,0.203553604082756,0.0474623865419496,4000
F_Fmsy,1955,0.399099129361521,0.393246045638593,0.0521758522557473,0.758793046024619,0.171576972723553,4000
P,1955,389842.814125527,269576.094362338,117821.342776037,1656552.56558984,492224.920121389,4000
removals,1955,24871.5510960885,24682.3489198701,16131.2761467418,33991.6519147068,4641.16776276459,4000
D,1956,0.814899248729469,0.808094338548912,0.579376673316188,1.08815862709672,0.129330959978558,4000
D_Dmsy,1956,1.802722849801,1.67345004039636,1.11841343379061,3.2661881428093,0.557312860439028,4000
F,1956,0.10301243931299,0.096861528236766,0.0160869033247977,0.221025733933125,0.0520512684286712,4000
F_Fmsy,1956,0.437396888030584,0.437780083531042,0.0536326742203287,0.786962162873091,0.18126752310993,4000
P,1956,383436.519221762,262901.46494309,120071.233701048,1638315.25256857,486468.362674154,4000
removals,1956,26056.657903283,25900.8581240035,18216.4968127439,35020.6766193482,4244.04054490765,4000
D,1957,0.776834184118452,0.769096084376621,0.547333240438408,1.03996139967434,0.125997528364602,4000
D_Dmsy,1957,1.71327312470393,1.59725473531138,1.06703293247147,3.01642791145632,0.511452896715241,4000
F,1957,0.172591823024151,0.16037093400643,0.0240048206006828,0.385263127554302,0.0929091920991922,4000
F_Fmsy,1957,0.725333619029265,0.722673476054861,0.0800983780958011,1.35803188539944,0.30680479633892,4000
P,1957,367407.48804138,250138.738312713,115567.503907631,1631665.811498,477463.548885541,4000
removals,1957,39726.4832308506,39138.0191076065,26555.3134284186,56309.5311020135,7715.02905615594,4000
D,1958,0.694009246490812,0.686963085631695,0.45310687475831,0.980489397297936,0.134185522985809,4000
D_Dmsy,1958,1.52367134276073,1.4168641470125,0.942572839213083,2.7361334943926,0.468252155984965,4000
F,1958,0.176254708115492,0.163925054116292,0.0237177005905394,0.391425066344802,0.0947306543167463,4000
F_Fmsy,1958,0.735132837442146,0.742019218041921,0.0795704813119101,1.30862940107518,0.294990152733,4000
P,1958,335919.466928719,221467.737034291,95395.0966858912,1502329.74707531,460068.320900011,4000
removals,1958,37657.9879132038,37350.7326819362,27503.2717251589,49592.6822971494,5591.09689136924,4000
D,1959,0.653775547147823,0.640395218435962,0.397260390217853,0.981714039192879,0.147193909598571,4000
D_Dmsy,1959,1.42969016704476,1.32223262298512,0.856939251642381,2.58439923668966,0.459246250796099,4000
F,1959,0.152549675976848,0.141896680069527,0.0196976059592039,0.336009997901609,0.0821625095575515,4000
F_Fmsy,1959,0.632449662120423,0.643593600669816,0.0655926567413219,1.10887066305985,0.248915623225361,4000
P,1959,322443.479179542,207963.892727318,83686.7104320767,1533803.0140211,453665.643659656,4000
removals,1959,30960.1116140674,30571.1253799387,23219.1131003549,40731.9418992787,4431.55640503752,4000
D,1960,0.634731428774061,0.620092387940985,0.376135921648336,0.9795112269449,0.152906842917131,4000
D_Dmsy,1960,1.38384074171477,1.28497221012872,0.824156287832771,2.52510387618451,0.446006556054113,4000
F,1960,0.170731019689252,0.159397505290456,0.0208686496376165,0.390593715900064,0.0940134498553691,4000
F_Fmsy,1960,0.703329892238254,0.7145719174316,0.0676762626822516,1.21604702265803,0.276222223672814,4000
P,1960,316113.231823073,199969.341747361,80463.5820334155,1497134.02683166,459617.408432117,4000
removals,1960,33267.7953709393,32776.9464543691,25093.8011121742,44104.2308806613,4808.71843722324,4000
D,1961,0.61165602890397,0.595903460191845,0.349458329956906,0.980566790078817,0.159863911586928,4000
D_Dmsy,1961,1.32891787365734,1.22795544827084,0.784307947533744,2.44492642240059,0.439713317250829,4000
F,1961,0.229575155877149,0.207670759590218,0.0257049166476206,0.534183318229221,0.132389805058973,4000
F_Fmsy,1961,0.935094026901701,0.957553405416433,0.091105380147282,1.59777407572795,0.367703970740319,4000
P,1961,308277.142170421,191330.564877146,74874.9655622439,1508482.52445195,459895.64543455,4000
removals,1961,41894.1099676768,41471.4735812639,30907.3276462344,55015.2155574917,6148.4038355317,4000
D,1962,0.571697155608183,0.550653092563837,0.289813753779507,0.97399296696361,0.176601213605308,4000
D_Dmsy,1962,1.23680325078057,1.13656332322819,0.695895111365742,2.48653418567693,0.455268920362598,4000
F,1962,0.24887880388125,0.223938734408275,0.0251003055043164,0.610651143664754,0.149627483223007,4000
F_Fmsy,1962,1.00136433973501,1.02932138148238,0.0897398433691171,1.73671578834201,0.393103528733611,4000
P,1962,297027.440041746,177749.684146442,62319.9701401686,1517431.99156345,472356.248904014,4000
removals,1962,40742.3641098434,40295.1333325339,31157.1991496605,52696.5241795057,5595.46180177628,4000
D,1963,0.525214346866834,0.497852307145767,0.235706602802064,0.969240213339712,0.187169635640158,4000
D_Dmsy,1963,1.13131048822602,1.02959647776593,0.591097629305824,2.43960571021804,0.463634255317477,4000
F,1963,0.253319103938392,0.222927543367824,0.0249409281221354,0.643603876148158,0.160949521870331,4000
F_Fmsy,1963,1.0051809420091,1.02337190284484,0.0836898913744729,1.73442405537365,0.398936859327587,4000
P,1963,280679.764576606,161973.879927141,50721.1831547124,1512991.81173627,466558.180829127,4000
removals,1963,37572.6551413151,37282.5705040927,28733.6063019831,48442.9274096713,5048.08050484952,4000
D,1964,0.491801366573555,0.461897477901884,0.192423295519417,0.954462485067911,0.196165577469592,4000
D_Dmsy,1964,1.05570546538626,0.959818964438918,0.499813636898702,2.3453433270152,0.473633052243201,4000
F,1964,0.137018708672663,0.119797882677169,0.0126779199061684,0.354559550792601,0.0887852951123382,4000
F_Fmsy,1964,0.542124273324704,0.551360993384557,0.0433327367745382,0.951420454956817,0.218815871454153,4000
P,1964,268933.361393137,149883.209339894,41529.79780659,1484891.05638817,465533.990197286,4000
removals,1964,19767.4218141668,19567.0352319356,14929.8055537386,25801.4110292474,2733.96538481536,4000
D,1965,0.507398365847401,0.478895482768457,0.210787494800199,0.961101334349998,0.192375593800294,4000
D_Dmsy,1965,1.09182138601356,1.00317737011099,0.530334351787121,2.36469946730442,0.468799030792681,4000
F,1965,0.174281871146935,0.150357166986489,0.0165034198401856,0.459078930447637,0.114219480696322,4000
F_Fmsy,1965,0.687056264257368,0.697836855791684,0.0530452212588337,1.20759236167346,0.278610611591536,4000
P,1965,272995.025627831,154619.029506784,46544.0427400161,1480505.18019519,466615.799448748,4000
removals,1965,25306.4327369484,25089.308418116,18995.8231523268,32928.4926599614,3562.34705104754,4000
D,1966,0.504709737706344,0.47554553555403,0.213137154403398,0.960960963726171,0.193973850245698,4000
D_Dmsy,1966,1.08619856074199,0.993626924845172,0.529965478146987,2.35556952379517,0.47548440542642,4000
F,1966,0.272561996800991,0.230451127425598,0.023554475062502,0.726426009721645,0.183828267098229,4000
F_Fmsy,1966,1.06989283115714,1.08522380126341,0.0777756001679685,1.91928834573673,0.445932938630026,4000
P,1966,272068.328355473,153660.097138659,46051.9064106409,1468438.70248704,463528.251934702,4000
removals,1966,36826.4103328502,36287.2048059107,26991.3198269888,49594.9193063218,5837.21285523249,4000
D,1967,0.460452300004862,0.429410730485249,0.160512452941531,0.938542085215229,0.200134900735023,4000
D_Dmsy,1967,0.9855631139541,0.893391386670998,0.41654264618003,2.24260237230228,0.476860077510843,4000
F,1967,0.131710682120664,0.112158701259619,0.0114804482382093,0.359251645331668,0.0897482221811893,4000
F_Fmsy,1967,0.517037523570305,0.525379483567462,0.0394329322657901,0.917589619649294,0.214877515446626,4000
P,1967,255628.598087137,139476.837333333,35024.6301852914,1419977.10671625,459857.391558911,4000
removals,1967,17550.514353108,17410.4674779966,12883.2916228132,23080.3549100343,2583.32716463393,4000
D,1968,0.484014793783101,0.452522664170744,0.18311116787783,0.95187175152296,0.198420762429196,4000
D_Dmsy,1968,1.03958888906379,0.948238516409159,0.462341310300988,2.30700741227127,0.474827735084001,4000
F,1968,0.135375268125965,0.116361123303466,0.0117640106639902,0.360724849098215,0.090523058778798,4000
F_Fmsy,1968,0.535372348278769,0.541480975094459,0.0416057410652275,0.970767119006987,0.22455713408718,4000
P,1968,263774.20406049,147303.70120431,40037.2078578285,1465831.46684441,462412.33713747,4000
removals,1968,18925.431418982,18549.8687301887,13810.4413063456,26110.0463709255,3190.07086775831,4000
D,1969,0.497216271738896,0.471239742061032,0.202154024694597,0.948116309975876,0.193437954828854,4000
D_Dmsy,1969,1.069714209387,0.982611533775195,0.494125387002255,2.30270235670697,0.466099545669607,4000
F,1969,0.126583862325786,0.110825202323006,0.0115906852452037,0.324575752991429,0.080456356278888,4000
