run_id,retro,hcxval,coverage_pmsy,coverage_fmsy,n_retro
0060-dwfn-exeBX-sy1988-cs0.2flat-e0.3-ss5reg-qmf-salt-x0.7_0-bspm_estq_softdep_mvprior_x0,,,,,0
0061-dwfn-c0.2-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0062-dwfn-c0.3-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0063-dwfn-c0.4-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0064-dwfn-c0.5-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0065-dwfn-c0.2-nb-qr-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0066-dwfn-c0.3-nb-qr-s1_0-bspm_estqsimple_softdep_mvprior_x0,,,,,0
0067-dwfn-exeSTT-c0.2-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0_stt,,,,,0
0068-dwfn-exeSTTGF-c0.2-nb-qb-s1_0-bspm_estqsimple_softdep_mvprior_x0_sttgamma_flexsigmaC,,,,,0
0069-dwfn-exeFSTTGF-c0.2-nb-qnewK-s1_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0070-dwfn-exeqV2FSTTGF-c0.2-nb-qnewK-s1_0-bspm_estqsimpleV2_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0071-au-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0072-nz-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0073-obs-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0074-obsNoPF-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0075-obsPFonly-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0076-dwfn-exeFSTTGF-cp0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0077-dwfn-exeFSTTGF-cf0.1-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0078-dwfn-exeFSTTGF-cp0.1-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0079-dwfn-exeFSTTGF-cf0.2-nb-qnewK-s1-o52ac-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0080-dwfn-exeFSTTGF-cf0.2-nb-qnewK-s1-o52ae-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0081-dwfn-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54ac_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0082-dwfn-exeFSTTGF-cf0.2-nb-qnewK-s1-o52ac-o54ac_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0083-dwfn-exeFSTTGF-cf0.2-nb-qnewK-s1-o52ae-o54ac_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0084-dwfn-exeFSTTGF-cf0.2-nb-qb-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0085-dwfn-exeFSTTGF-cf0.2-nb-qr-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0086-dwfn-exeFSTTGF-cf0.2-nalt-qb-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0087-dwfn-exeFSTTGF-cf0.2-nalt-qr-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0088-dwfn-exeFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0089-allnoObs-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0090-allobs-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0091-allnoPF-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0092-allPFonly-exeFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0093-dwfn-exeFSTTGF-cf0.2-nb-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0094-au-exeFSTTGF-cf0.2-nb-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0095-obsNoPF-exeFSTTGF-cf0.2-nb-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0096-dwfn-exeFSTTGF-cf0.2-nalt-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0097-au-exeFSTTGF-cf0.2-nalt-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0098-obsNoPF-exeFSTTGF-cf0.2-nalt-qnewKX-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC,,,,,0
0099-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0100-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.087170591936537,0.587026654736681,1,1,5
0101-au-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.0983878920527384,1.14570883762965,1,1,5
0102-nz-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,0.069215409523943,2.57738146431614,1,1,5
0103-obs-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.0108155803698378,0.490744974583874,1,1,5
