metric,mass,type,median,lower,upper
msy,0.95,eti,29962.252881874,25828.1837570575,184069.335666807
msy,0.95,hdi,29962.252881874,23040.3356220563,103619.188652099
Dmsy,0.95,eti,0.479304375849865,0.257956711055468,0.704914760421157
Dmsy,0.95,hdi,0.479304375849865,0.257727834830931,0.704879010873502
Pmsy,0.95,eti,155183.157573973,63037.2046666789,808860.89909323
Pmsy,0.95,hdi,155183.157573973,37772.1726770168,556497.34785254
Fmsy,0.95,eti,0.229512138110867,0.0764739826810304,0.690053333847113
Fmsy,0.95,hdi,0.229512138110867,0.0438846355716276,0.584210657649015
Plrp,0.95,eti,65041.3833382668,36198.0413353511,327844.174700792
Plrp,0.95,hdi,65041.3833382668,28894.6655601104,221198.998954163
latest_depletion,0.95,eti,0.38264073058562,0.14377103867624,0.962854592799178
latest_depletion,0.95,hdi,0.38264073058562,0.0996703726470509,0.901407872384734
latest_population,0.95,eti,121943.452300552,34066.9219612062,1479252.68562473
latest_population,0.95,hdi,121943.452300552,8611.54203635084,925444.565378906
latest_F,0.95,eti,0.154266504204023,0.0136397342271278,0.46953558324635
latest_F,0.95,hdi,0.154266504204023,0.00435353079114414,0.39616808284026
latest_removals,0.95,eti,17488.4896073343,11544.5043553161,25987.7484640705
latest_removals,0.95,hdi,17488.4896073343,10947.1381299872,25108.0784574922
latest_D_Dmsy,0.95,eti,0.805953292038685,0.322537703779497,2.35676509491585
latest_D_Dmsy,0.95,hdi,0.805953292038685,0.238371059470833,2.01503935820921
latest_F_Fmsy,0.95,eti,0.694872199484438,0.0466222249481449,1.50816041187025
latest_F_Fmsy,0.95,hdi,0.694872199484438,0.0132805873390229,1.34526624402061
recent_D,0.95,eti,0.368585539780536,0.145090128343853,0.944369548035616
recent_D,0.95,hdi,0.368585539780536,0.107722715843062,0.891983384426711
recent_P,0.95,eti,117966.990100811,34199.3264062591,1442511.31691637
recent_P,0.95,hdi,117966.990100811,13983.288222114,911306.52201807
recent_F,0.95,eti,0.168751469591845,0.0147049345046961,0.485424084093483
recent_F,0.95,hdi,0.168751469591845,0.00452842455932959,0.421468004967322
recent_removals,0.95,eti,20460.0233187733,16891.3911559886,24770.0919913506
recent_removals,0.95,hdi,20460.0233187733,16961.6496915984,24791.7280352221
recent_D_Dmsy,0.95,eti,0.771588567367387,0.334958718059852,2.30338961322065
recent_D_Dmsy,0.95,hdi,0.771588567367387,0.239808052117317,1.94501054146007
recent_F_Fmsy,0.95,eti,0.773386469368698,0.0477333680693219,1.51469941265758
recent_F_Fmsy,0.95,hdi,0.773386469368698,0.0154326396926603,1.3400600142039
