model,parameter,median,lower_ci,upper_ci
0100,logK,12.7863390071336,12.3234984288136,14.0461777106721
0100,r,0.396129758776799,0.15467709192566,0.865826739293829
0100,shape,1.3532421637471,0.500014076799221,3.54426318735278
0100,x0,0.999703421911978,0.948308761793193,1.05309171428669
0100,qeff,2.22664832301987,0.602046528370929,8.50508107512401
0100,rho,0.993016154996586,0.979853422800309,0.99725649674906
0100,sigma_qdev,1.4945841687608,1.01332117110958,2.21083772441714
0100,sigmap,0.0584738935246433,0.03411476437886,0.093537731871915
0100,sigmao_add,0.0844064529386739,0.0287947890433558,0.15381386522911
0100,nu_catch,3.79731974897819,2.11903333345288,7.6665066113691
0100,sigmaf,,,
0102,logK,12.6307163263812,12.1416472410968,14.3783266980992
0102,r,0.543160480665023,0.184689263344741,1.16768147230518
0102,shape,1.09007261857078,0.446266778864312,3.04190705225545
0102,x0,1.00027335644424,0.952156182336499,1.05095771793248
0102,qeff,2.50186190355004,0.513368838024147,9.71411329723222
0102,rho,0.992855628111385,0.979127195288848,0.997324871088358
0102,sigma_qdev,1.47759549657476,1.01642666695626,2.2098562744658
0102,sigmap,0.0689269150330142,0.0382316523960415,0.115349994287655
0102,sigmao_add,0.184288635331747,0.100056133563456,0.29114900850921
0102,nu_catch,3.66402049923993,1.96721979282063,7.69719134635089
0102,sigmaf,,,
0105,logK,12.7505676085857,12.1976429344228,14.2085332592493
0105,r,0.32227941077253,0.120673530488353,0.722454129485792
0105,shape,2.91303379985444,1.17231554229496,8.16785761574859
0105,x0,1.00225541855615,0.950123630627138,1.04513399725196
0105,qeff,2.35640304255099,0.596070935718292,8.65474181463124
0105,rho,0.992890555087871,0.978950685927691,0.997352118980776
0105,sigma_qdev,1.54670454504033,1.04129868458914,2.19075338689886
0105,sigmap,0.0586456442493776,0.0355134811715184,0.10084715675756
0105,sigmao_add,0.0832450540805529,0.0288502231088849,0.160408083159442
0105,nu_catch,3.74691611952514,2.00026158361876,7.58218870423562
0105,sigmaf,,,
0107,logK,12.5706314558672,12.0153701579676,14.4282130924142
0107,r,0.43760805416756,0.152687441133332,1.00796119843234
0107,shape,2.35083983433302,0.899066160472291,6.33531128242624
0107,x0,0.999594424752359,0.954247229839698,1.05201299486653
0107,qeff,2.67342500202948,0.564881560089291,9.27079012718591
0107,rho,0.992564719677943,0.979676017040999,0.997215852336512
0107,sigma_qdev,1.50294619969658,1.00567163675508,2.14665942145896
0107,sigmap,0.0666621055667457,0.0378021430144333,0.111646837140389
0107,sigmao_add,0.183662821927343,0.103083357041431,0.290590169481215
0107,nu_catch,3.74582786402787,1.98799344032949,7.34909872251069
0107,sigmaf,,,
0071,logK,13.4562747735356,12.4314749745363,14.9459808670683
0071,r,0.48182824775694,0.159558156868666,1.5300898610727
0071,shape,1.22058187675952,0.407834786751238,3.73563394836632
0071,x0,1.00285411346424,0.959094387013683,1.05222326357586
0071,qeff,1.50520096111652,0.294731925164741,7.38562727433109
0071,rho,0.993671521863681,0.982856190761035,0.997509419911096
0071,sigma_qdev,1.66041408125702,1.12320451641016,2.34484583558768
0071,sigmap,0.0608273362445392,0.037729222680912,0.0926491756828773
0071,sigmao_add,0.0319504698274621,0.00348475040233192,0.0814304034986482
0071,nu_catch,3.7868251141686,2.04925129607303,7.86600270497213
0071,sigmaf,,,
0072,logK,12.6232875860821,12.1626146777797,14.346549947693
0072,r,0.526529055451789,0.19178195147023,1.16672398410449
0072,shape,1.12822214136876,0.430016747703774,2.99722324028177
0072,x0,1.00194366638569,0.957534057511342,1.04848044414766
0072,qeff,2.47703158914142,0.487282539635657,8.10357218462553
0072,rho,0.992629692322262,0.978038042792921,0.997403983162703
0072,sigma_qdev,1.47683634632396,0.974168771923044,2.16948738518947
0072,sigmap,0.0672162101206421,0.0385660753209165,0.11571902150359
