name,mean,median,q025,q975,sd,n
msy,40974.7601155411,29962.252881874,25828.1837570575,184069.335666807,48038.5195107801,4000
Dmsy,0.480047462624501,0.479304375849865,0.257956711055468,0.704914760421157,0.118048679297822,4000
Pmsy,217456.172431598,155183.157573973,63037.2046666789,808860.89909323,248999.876114489,4000
Fmsy,0.271747554408454,0.229512138110867,0.0764739826810304,0.690053333847113,0.177826824563289,4000
Plrp,88052.3068965129,65041.3833382668,36198.0413353511,327844.174700793,92829.9785017912,4000
latest_population,239687.680404929,121943.452300552,34066.9219612061,1479252.68562473,471117.080178744,4000
latest_depletion,0.425264777647556,0.38264073058562,0.14377103867624,0.962854592799178,0.204388877407437,4000
latest_F,0.175547298864384,0.154266504204023,0.0136397342271278,0.46953558324635,0.117847954427265,4000
latest_D_Dmsy,0.923733699558194,0.805953292038684,0.322537703779497,2.35676509491585,0.509545271496338,4000
latest_F_Fmsy,0.720227832794575,0.694872199484437,0.0466222249481449,1.50816041187025,0.362933793648939,4000
latest_D_Dlrp,2.12632388823778,1.9132036529281,0.718855193381202,4.81427296399589,1.02194438703718,4000
recent_F,0.190229799046046,0.168751469591845,0.0147049345046961,0.485424084093483,0.119984481461804,4000
recent_P,233478.7990716,117966.99010081,34199.3264062592,1442511.31691637,463006.825404626,4000
recent_D,0.411057907989896,0.368585539780536,0.145090128343853,0.944369548035616,0.198262159048857,4000
recent_D_Dmsy,0.891845874071569,0.771588567367386,0.334958718059852,2.30338961322065,0.493556984157677,4000
recent_F_Fmsy,0.776070552854983,0.773386469368698,0.0477333680693219,1.51469941265758,0.35092851203085,4000
recent_D_Dlrp,2.05528953994948,1.84292769890268,0.725450641719264,4.72184774017808,0.991310795244287,4000
latest_removals,17845.9307420431,17488.4896073343,11544.5043553162,25987.7484640704,3658.42170075044,4000
recent_removals,20562.9718614318,20569.669707553,13357.3340773303,28058.301203385,3696.54026404932,16000
