parameter,median_0071,median_0072,median_0073,median_0074,median_0075,median_0076,median_0077,median_0078,median_0079,median_0080,median_0081,median_0082,median_0083,median_0093,median_0096,median_0100,median_0102,median_0105,median_0107,median_0110,median_0111,median_0112,median_0113,median_0114,median_0115,median_0116,median_0117,median_0118,median_0119,median_0120,median_0121,median_0122,median_0124,median_0126,median_0127,median_0128,median_0129,median_0130,median_0131,median_0132,median_0133,median_0134,lower_ci_0071,lower_ci_0072,lower_ci_0073,lower_ci_0074,lower_ci_0075,lower_ci_0076,lower_ci_0077,lower_ci_0078,lower_ci_0079,lower_ci_0080,lower_ci_0081,lower_ci_0082,lower_ci_0083,lower_ci_0093,lower_ci_0096,lower_ci_0100,lower_ci_0102,lower_ci_0105,lower_ci_0107,lower_ci_0110,lower_ci_0111,lower_ci_0112,lower_ci_0113,lower_ci_0114,lower_ci_0115,lower_ci_0116,lower_ci_0117,lower_ci_0118,lower_ci_0119,lower_ci_0120,lower_ci_0121,lower_ci_0122,lower_ci_0124,lower_ci_0126,lower_ci_0127,lower_ci_0128,lower_ci_0129,lower_ci_0130,lower_ci_0131,lower_ci_0132,lower_ci_0133,lower_ci_0134,upper_ci_0071,upper_ci_0072,upper_ci_0073,upper_ci_0074,upper_ci_0075,upper_ci_0076,upper_ci_0077,upper_ci_0078,upper_ci_0079,upper_ci_0080,upper_ci_0081,upper_ci_0082,upper_ci_0083,upper_ci_0093,upper_ci_0096,upper_ci_0100,upper_ci_0102,upper_ci_0105,upper_ci_0107,upper_ci_0110,upper_ci_0111,upper_ci_0112,upper_ci_0113,upper_ci_0114,upper_ci_0115,upper_ci_0116,upper_ci_0117,upper_ci_0118,upper_ci_0119,upper_ci_0120,upper_ci_0121,upper_ci_0122,upper_ci_0124,upper_ci_0126,upper_ci_0127,upper_ci_0128,upper_ci_0129,upper_ci_0130,upper_ci_0131,upper_ci_0132,upper_ci_0133,upper_ci_0134
logK,13.4562747735356,12.6232875860821,13.970541120075,13.7899202775519,12.700153292794,12.8157033903139,12.8106656657782,12.7693185524821,12.8190972379641,12.8141534073767,12.7765237244077,12.7471608490175,12.7440026905649,14.3891280905893,14.394703004346,12.7863390071336,12.6307163263812,12.7505676085857,12.5706314558672,12.6142247524451,12.8389427093191,12.7765825592362,12.7790650292892,12.7892984067011,13.3858150487953,13.3005291528034,13.3504799909486,12.8033968760871,12.7276872300126,12.7580124427155,12.8768311958414,13.2835664454277,12.7210364078639,12.7165936975291,12.5615807465553,13.2756728511635,12.8896254766659,12.699839637984,12.8379701369326,12.6997449412258,13.6868165665852,13.4987588211313,12.4314749745363,12.1626146777797,12.8236434501948,12.4411611594118,12.1521962202419,12.3389364834685,12.3624852152639,12.2945246461124,12.3187835621476,12.303876518465,12.2916064910183,12.2905884167727,12.2674870369908,14.0112532415564,14.0264079503183,12.3234984288136,12.1416472410968,12.1976429344228,12.0153701579676,12.1298319538752,12.3638261961936,12.3435147451359,12.3371729287986,12.3190893294764,12.9352298082368,12.7262904902205,12.9571248028185,12.322865055938,12.2196168812838,12.2102849330707,12.3025329507976,12.4769363676774,12.205428994063,12.2305997550387,12.0778507369899,12.6854565528184,12.3516049773038,12.2096704077517,12.3444670401634,12.1893073522587,13.4091061735133,13.2423795602391,14.9459808670683,14.346549947693,15.210412847623,15.0641053593905,14.5397406637974,13.88790714384,14.0258402217609,13.6205349181572,14.033962083178,13.9902511557034,13.9104301070488,13.8752433853538,13.976059483059,14.7736874822776,14.7648103719154,14.0461777106721,14.3783266980992,14.2085332592493,14.4282130924142,13.7922461725174,13.9936630242005,13.7726548268081,13.6372049749535,13.7295968619448,14.027137213716,14.1495432500046,13.9452151175498,13.589834906843,14.0170495714153,13.5228821341527,13.908045502386,14.8658653201871,13.7615919090423,13.5400169069918,13.4086874577671,14.472332534239,14.2201698073457,14.5589344260457,14.2697888987272,14.5153591509151,14.1744169258091,13.9440553216066
nu_catch,3.7868251141686,3.66458458681413,3.76285930100007,3.86465644645363,3.78520841173356,17.9865691800806,1.81950145692041,14.8474075507204,15.9259638442147,15.3647276303876,3.77027082141508,15.1986692861039,14.5395387770411,4.12553341276922,4.10619899084067,3.79731974897819,3.66402049923993,3.74691611952514,3.74582786402787,,3.53409741575354,3.11124603144786,3.49914607060588,2.93095427979637,3.7210546269867,3.7062099819699,3.57304213204731,3.62390770266332,14.1453926791986,21.9881361561222,23.0191033590075,22.7704857818738,4.86972175579576,4.43462009536989,19.8317728761204,20.3612269221349,3.71291126619386,3.72955524804618,3.61041159269425,3.70922945319511,3.64184342224549,3.71802832814545,2.04925129607303,1.91366945508225,2.08180965764781,1.95810046345519,2.05919186904339,6.15135638866266,1.16656101011516,4.46208810771008,4.95735725206203,4.46482998701607,2.06380041415737,4.45335976370624,4.70406778862487,2.09644111065442,2.13175163286426,2.11903333345288,1.96721979282063,2.00026158361876,1.98799344032949,,1.9531332161695,1.7694984569529,1.9044367316097,1.60480585031507,2.04309561574339,2.04668951137789,2.06324165112452,1.98213792610466,3.9201364843344,6.53049520973794,6.32734072286173,6.38044473066193,2.43701852106139,2.03061150264707,5.10703624569744,5.79446443451608,2.05502325929802,2.06503084710061,2.05075410803674,2.11245778001704,1.97056114974869,2.05734780241317,7.86600270497213,7.54052765450953,7.60410229004571,7.97787633204797,7.80362832816964,55.2470649793493,2.99635034489102,48.4709149579353,55.0367763113865,51.2886331786094,7.2829328563277,50.4676813813787,51.1452701200326,8.59582198880308,8.70553402376634,7.6665066113691,7.69719134635089,7.58218870423562,7.34909872251069,,6.85619305854743,5.6901286431228,6.7546824692133,5.66848077405198,7.81839046281514,7.49858873756812,7.87726790057839,7.33661521451818,47.3058921935603,59.8493660829799,64.402919189059,57.3428879579586,21.9495964247047,12.9766068090425,55.3353835493806,57.4339593504805,7.58766207376739,7.61702039797354,7.42113894666833,7.55634624674167,7.34183205809714,7.56645761923301
qeff,1.50520096111652,2.47703158914142,1.08334775982787,1.29194705360329,2.26740278518446,1.30274301632439,2.40942547496465,1.37529979369817,2.54178904176871,2.54151064656452,1.83466266026258,2.49536482930373,2.46820359639352,0.271925957133857,0.271481158227208,2.22664832301987,2.50186190355004,2.35640304255099,2.67342500202948,0.349469668324738,2.55047136168058,2.58691058594988,2.97849770823757,1.80321867963388,2.4383753458207,1.46248615456782,2.54338859574098,2.44590404390128,2.60329577331615,0.175137836571692,0.127453644426862,0.110623908366928,2.07980964511094,2.83775910606668,,,2.04950728832078,2.19980391752702,2.06717447106462,2.46713014243752,1.01195898932834,1.23736980596014,0.294731925164741,0.487282539635657,0.213076132276695,0.285424735477218,0.514037610858269,0.392171378788171,0.743251607703599,0.433703128657913,0.799087795319804,0.850546271600439,0.559322896162619,0.764681050974337,0.828580102789904,0.192609994134447,0.19144641323364,0.602046528370929,0.513368838024147,0.596070935718292,0.564881560089291,0.110868620037641,0.846916040914994,0.704293398431,0.978095537321293,0.637525498585815,0.784783518142744,0.477726048933181,0.895183270880746,0.789298876682471,0.82454269602975,0.0753448300461891,0.0403480625926025,0.0237425031618663,0.573140017641363,0.858064360254855,,,0.541499223620138,0.439533999177393,0.572033365800857,0.50581730838209,0.375222387957937,0.47139784708056,7.38562727433109,8.10357218462553,5.29746969021729,5.26300548300743,8.16064977367905,5.28512031919133,7.8290454554706,5.72962673304283,8.98178723316518,7.73743122535409,6.95932813738688,7.31349494371793,8.4058689943627,0.373754683621693,0.377041836242135,8.50508107512401,9.71411329723222,8.65474181463124,9.27079012718591,3.01664172295735,8.1640533188351,8.58865653639601,9.93395604675077,6.86449311546549,8.01464081956528,5.77228107421213,7.99617485130176,8.56398845601928,9.08080899739387,1.56146535710978,3.29472840005376,4.92938971423495,8.54169553951676,10.1992620239861,,,7.50406844075714,8.16044254106435,7.91149847223505,10.3251746370186,4.63679386486869,4.69505797949463
r,0.48182824775694,0.526529055451789,0.594957674324383,0.564244000079204,0.498947532389176,0.3919869305861,0.377523217293819,0.398996667796947,0.383823399057365,0.389573588422195,0.40915220291506,0.426713183283225,0.414879514695854,0.397280644336481,0.406600364520732,0.396129758776799,0.543160480665023,0.32227941077253,0.43760805416756,0.517211676609484,0.362812899091234,0.410173024537552,0.415175335642238,0.474478744061274,0.438606593073221,0.436646442006014,0.326799741251984,0.348771666753108,0.430733709160142,0.364086191395546,0.377742002013867,0.495941065909663,0.447798840753812,0.445855173218287,0.529939016144269,0.362374306878675,0.349883482395007,0.501223038335947,0.396723933742748,0.516932020208142,0.17602997791899,0.180349075055579,0.159558156868666,0.19178195147023,0.203841053398241,0.19588602426539,0.163961604912908,0.179793182485883,0.157598015310889,0.157672277837843,0.146161543136103,0.142330752118919,0.162093966847504,0.166698127687367,0.156770758811284,0.0966946876775252,0.0745427400963384,0.15467709192566,0.184689263344741,0.120673530488353,0.152687441133332,0.219529341621147,0.143952826968062,0.168618386081954,0.167251344659391,0.16598753000544,0.178069772313777,0.17088068754282,0.149846297612261,0.136175343209541,0.16061109231925,0.1461733532312,0.155623866321938,0.175884350213518,0.173386351945763,0.168397130829487,0.21497152881215,0.141720553282911,0.151637316963432,0.188723965379958,0.1564521975998,0.197823470216034,0.135333016081773,0.132781849101785,1.5300898610727,1.16672398410449,1.72963910935194,1.7137212651546,1.32436396586941,0.900915579480356,0.818987525191204,0.850839288340171,0.837562168395185,0.90341055596121,0.936023854927961,0.909666571906392,0.962491150001187,1.31529969920063,1.38478101684791,0.865826739293829,1.16768147230518,0.722454129485792,1.00796119843234,1.17132668901815,0.873833729773811,0.849921545860553,0.858506835863848,0.999569603087308,0.93436016607408,1.1743106778655,0.64153455621907,0.788542874757679,0.966045594284426,0.861368477730015,1.20896312849306,1.70635941732427,1.04460565172255,1.12468971716477,1.31165489137085,1.26209903548771,0.83686821881177,1.1129782351572,0.908489288246132,1.20711811138306,0.229296662672805,0.233652687746457
rho,0.993671521863681,0.992629692322262,0.993490160018781,0.993456052298038,0.992928481731191,0.994093389803273,0.991402113284076,0.99404031026828,0.992646032135737,0.992528229179696,0.993527419912267,0.993193213301837,0.993279265058345,0.989768277025631,0.989387852533794,0.993016154996586,0.992855628111385,0.992890555087871,0.992564719677943,0.959409052541733,0.987955308790823,0.985971611899195,0.97606217719561,0.956062978363847,0.993605469471053,0.993209451928359,0.99361796280855,0.993075201825955,0.993321129538945,0.991829491977946,0.991551160451458,0.994189892355021,0.988149913677415,0.975508020003299,,,0.993072250418755,0.99225116154778,0.993057775970034,0.993007453463973,0.993934970027345,0.993871353386064,0.982856190761035,0.978038042792921,0.983877229061893,0.98350669803275,0.980303539531014,0.980430444407833,0.980340741842323,0.982505413214194,0.98146610447288,0.981016129427352,0.981775029093535,0.982044043481027,0.983282944671943,0.979192798883066,0.977839370484548,0.979853422800309,0.979127195288848,0.978950685927691,0.979676017040999,0.885684994093319,0.968024225448396,0.960943166131645,0.937516877662056,0.85696356826646,0.981729675541303,0.98072156154577,0.982532268669157,0.98042817199164,0.983005021765271,0.969405482055751,0.964934647987976,0.962196437601279,0.964010826307511,0.928419924702987,,,0.981637782314369,0.978843666227527,0.980847112718123,0.980514791758426,0.984123062952472,0.983794226186493,0.997509419911096,0.997403983162703,0.99735092592776,0.997281458071533,0.997288241751736,0.998076761516,0.996912205646645,0.997929962771523,0.997188849178381,0.996867035980698,0.997620709265006,0.997356953575502,0.997441146026586,0.995793441257892,0.995403290923249,0.99725649674906,0.997324871088358,0.997352118980776,0.997215852336512,0.990084360442173,0.995212324151004,0.994697379526684,0.991481842547237,0.987759571960755,0.99752043172025,0.997606461763371,0.997453948650257,0.997237811719619,0.99743865816244,0.998613303554251,0.999024609959197,0.999398041684551,0.995764262881682,0.992377791203129,,,0.997393657835788,0.997129524181419,0.99727014745225,0.997377615626471,0.997850345767216,0.997891541886341
shape,1.22058187675952,1.12822214136876,1.18330320502399,1.16169884490188,1.14950660825752,1.34020076402926,1.4179541898367,1.40292519610904,1.41778321901938,1.34923032723443,1.35244283300918,1.29006211696945,1.34893833559174,1.37319818310249,2.38737671241389,1.3532421637471,1.09007261857078,2.91303379985444,2.35083983433302,1.19762755549196,1.42844958952988,1.2679328024614,1.23340478598624,1.00384699674148,1.26902200414625,1.2592898069684,1.63833035988564,1.58367137062817,1.29117950446095,1.73567935570932,1.61342914538937,1.18918099570701,1.20506458178926,1.1949892861114,1.19588605866538,1.54575038890457,1.51020120964067,1.1346421953669,1.34404932250943,1.08569127433057,0.867542383416759,1.33145074418813,0.407834786751238,0.430016747703774,0.426541972966767,0.401593782710599,0.450893444183615,0.548586592524134,0.580642870250128,0.565907065705557,0.540311215323675,0.511039406604968,0.536824971924664,0.508660263101626,0.498537619236332,0.450171448941119,0.71686315231601,0.500014076799221,0.446266778864312,1.17231554229496,0.899066160472291,0.421322302104277,0.526652188193407,0.503357551006924,0.494758244562823,0.395139697149343,0.484505868322636,0.459309804821305,0.680949587212433,0.63707231757427,0.505938790751292,0.634255119583555,0.491177658848379,0.359735662338776,0.463471254228049,0.425850307829856,0.446752308815523,0.479583288333983,0.510488632456047,0.432633441702969,0.551586673569254,0.432592960751397,0.355715056393944,0.532564537636064,3.73563394836632,2.99722324028177,3.29687900231581,3.5089100432742,3.5499365327531,3.4933552350195,3.75701667602325,3.60934660759812,3.93818237114064,3.83998922812241,3.72022290171622,3.4755313777563,3.5335648319581,5.36671864331729,10.6756149564482,3.54426318735278,3.04190705225545,8.16785761574859,6.33531128242624,2.93775324905245,3.87298068375653,3.51998628310275,3.38542994596998,3.23825079702334,3.32193471381938,3.51713530688888,3.92976127266025,3.83381161852526,3.50089774003425,4.21979160256366,4.22447083039955,3.6292825198614,3.290603055265,3.48120255574344,3.06731872712418,4.73316248969167,3.98205903113036,3.18958381895145,3.47069058253282,3.12937171339403,2.26478406343138,3.97637576068812
sigma_qdev,1.66041408125702,1.47683634632396,1.76227176111764,1.72954361498751,1.47955545455583,1.42651077482389,1.52919926204122,1.41342676808944,1.52870706453547,1.51951805386696,1.47814388606919,1.50500537743853,1.50665512855112,1.37075553994263,1.37035057817342,1.4945841687608,1.47759549657476,1.54670454504033,1.50294619969658,1.29658185950759,1.55139925442914,1.53771952492631,1.59190173199634,1.54988825456413,1.52520638351442,1.54623961209929,1.53056568555971,1.52040521933902,1.51464593252053,0.999908723273033,0.981548602449146,1.20731508282202,1.50169265466478,1.56728853585859,,,1.53136390075772,1.47804480329456,1.52246105396279,1.52658758232952,1.58325397242986,1.55791522032697,1.12320451641016,0.974168771923044,1.22352462071912,1.17773734055398,0.981109048516529,0.883841642780031,1.06703308508599,0.91374183833349,1.10032215599615,1.0454426602422,0.983132552091966,1.05972902128163,1.05227651294431,1.0451169618343,1.04864910318269,1.01332117110958,1.01642666695626,1.04129868458914,1.00567163675508,0.790661035388405,1.07521274866375,1.02561092457921,1.09018410647385,1.03786678665414,1.08220755481092,1.04509021396201,1.06341559877207,1.04403988450593,1.06516970127258,0.609437308143301,0.575158679186188,0.576950016277577,0.986933148260978,1.05616550118876,,,1.040686879124,1.0202372602413,1.04223936289979,1.04433346518543,1.05467757575235,1.10525371645587,2.34484583558768,2.16948738518947,2.44660585376636,2.39999602288555,2.19022578604708,2.19198392064021,2.21146835260825,2.1725902222034,2.16151477534933,2.13817064300966,2.22142436134952,2.12891844297008,2.20871414173978,1.74641008829412,1.80117916210003,2.21083772441714,2.2098562744658,2.19075338689886,2.14665942145896,2.52896403038583,2.2369364531248,2.22116027647985,2.20358001360494,2.21957470117201,2.14678644099372,2.22338831480259,2.11926761740382,2.15248053435932,2.22060506818214,2.38565062913021,3.03875393830807,3.38932428370171,2.13753452355643,2.21137218007872,,,2.24668396374273,2.21690152060502,2.19356648331974,2.27600875137106,2.29695528839424,2.26793912201975
sigmaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212357901863328,0.0677140785473742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061551911617261,0.0169573157999901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413059160856793,0.148428573417578,,,,,,
sigmao_add,0.0319504698274621,0.183601699128909,0.00533087488457029,0.0195332752484736,0.048638195403514,0.0867914787644624,0.0801231010743689,0.0839133103833978,0.0833143366003297,0.0826921723496214,0.0840044250208556,0.0817465988315653,0.0838822527689787,0.0996880442480784,0.115367893932608,0.0844064529386739,0.184288635331747,0.0832450540805529,0.183662821927343,0.0768016616806843,0.0823204835900834,0.0877048576351744,0.0762724904017127,0.0658185692152643,0.082005051232079,0.0842362092132226,0.0779348496396497,0.106348842281281,0.0839312262446386,0.084401734597825,0.0868282878583424,0.0931415709558051,0.0735290111448353,0.070453101214361,0.0721654588942221,0.0930054469751242,0.0585941362039827,0.132899624822406,0.0830960651243548,0.161613528389309,0.0853070778976616,0.0832264209454089,0.00348475040233192,0.10211200379414,0.000199686307631499,0.000909987524983803,0.0020650312070867,0.0315700533698261,0.0288666289325973,0.0308617714378525,0.0275770248241189,0.0267408514602609,0.0289064827371514,0.0264867373718184,0.0289937899017915,0.0328908118633548,0.03721398676399,0.0287947890433558,0.100056133563456,0.0288502231088849,0.103083357041431,0.0190732743916666,0.0291197017624664,0.0316297932130854,0.0246390142362669,0.0136624957616525,0.0273349936581445,0.0286461657012243,0.0274671456838247,0.048686295337446,0.0290635465746414,0.0273790396235402,0.0228263865862174,0.0289636135425316,0.0173769222572859,0.0170991529729021,0.0178229231597677,0.029332959794737,0.0194263093771655,0.0756414484942769,0.0428839391932887,0.101688326322244,0.0311977289770267,0.0307677841579836,0.0814304034986482,0.282501130038664,0.0326127739830456,0.0894941224988006,0.183620458334648,0.163056410328777,0.15143026948826,0.152049366697119,0.163967901872184,0.157218290688388,0.169213633026371,0.164205922816877,0.150519249795997,0.188112184670963,0.201985835111014,0.15381386522911,0.29114900850921,0.160408083159442,0.290590169481215,0.160727943758424,0.155299735588703,0.160090554990754,0.144954838606085,0.138000887817257,0.155080982697802,0.162281346516197,0.147434956534394,0.185208565451581,0.150305159771083,0.162828386350961,0.175191426531183,0.187867653376908,0.150094397456913,0.140376490570847,0.151934126321768,0.178327485165398,0.107357080013673,0.201018419206714,0.138399166381384,0.232373770153723,0.161554213920927,0.156087961504568
sigmap,0.0608273362445392,0.0672162101206421,0.0444348539552535,0.0521735968740942,0.0536355102116773,0.0563767919429082,0.0618669926566587,0.0570028963026551,0.060536716309414,0.0604199015020464,0.0589909170292333,0.0609449639101618,0.0606956204372337,0.0740373724525396,0.0678031536080464,0.0584738935246433,0.0689269150330142,0.0586456442493776,0.0666621055667457,0.0647861989203924,0.0612384260873525,0.0614018792122886,0.0684890485123438,0.0849946851800087,0.0603604477619269,0.0619288554045976,0.0561233009110643,0.00100015041228039,0.0611062205931065,0.0574673923118956,0.0632804764921587,0.0660021671465897,0.061430551410866,0.0611107204036579,0.0623203746683521,0.0650055661923965,0.0620428765824288,0.0812706309626995,0.0615713065735056,0.0742262500237756,0.0568439687777275,0.0580744524599867,0.037729222680912,0.0385660753209165,0.0289553253805665,0.0322076678808356,0.0324439816287813,0.0343719848673487,0.0369470388562024,0.0342671749828832,0.0363938388412924,0.0349962190345127,0.0339780041862456,0.0358324530699202,0.0362628784338965,0.0396931293570316,0.0362168774136582,0.03411476437886,0.0382316523960415,0.0355134811715184,0.0378021430144333,0.0385703411258211,0.0360756211688464,0.0358374007928779,0.0387412631781941,0.0448611813468515,0.0353676275987119,0.036361909128829,0.0318688426558548,0.000907878335514109,0.0353486673922555,0.0339495136457253,0.0381409345565943,0.0381084962087465,0.0341448156681557,0.0360475208871377,0.036042196623317,0.0353979704598309,0.0358011633582658,0.0480990042779408,0.0352900893387522,0.0412359157223633,0.0352709308122423,0.0355434714267688,0.0926491756828773,0.11571902150359,0.0695360666963859,0.0841280962933752,0.0864596095716298,0.09368666483588,0.101686724308872,0.0932022719001394,0.104558229981549,0.102643539471003,0.102466967796791,0.0985159343976697,0.0995409896219879,0.121350803275194,0.119720905755295,0.093537731871915,0.115349994287655,0.10084715675756,0.111646837140389,0.112843717115755,0.10230328355339,0.101245468394635,0.115668999623224,0.142618988262541,0.0954718320638204,0.0984733160640104,0.0944013621364517,0.00110864332671693,0.106340220285288,0.0936890800887149,0.10973172243963,0.106017608733423,0.0983566918983704,0.101823496909591,0.102349699867991,0.107684299610513,0.103792043549913,0.134368811575256,0.10040098005383,0.122095324824404,0.0963270995733494,0.0957972074856818
