sample_id,id,logK,max_age,M_ref,L1,L2,vbk,cv_len,maturity_a,l50,weight_a,weight_b,sex_ratio,h,Lc,age1,age2,reproductive_cycle,rmax,epr_unfished_rmax,alpha,generation_time,inflection_point,amat50,shape,subsample_method,clean_index
124328,124328,13.5871379063055,24,0.177806581960962,55.2424803358032,291.372398726652,0.783808489388782,0.106810652744025,-21.1994253622829,106.904576515511,5.72362619551685e-07,3.50140812301208,0.459534097959057,0.311026911198381,138.515799664355,0,10,1,0.0925,523.6834,0.0034,7.4899,0.7017,1,6.10849268701425,Inverse Transform.D,115768
22566,22566,14.3511952661761,14,0.153494205089455,44.6702066859441,221.188540398836,0.654646906867314,0.198042103461921,-21.8903157588745,161.750962653486,5.48944629209815e-07,3.54923056118889,0.488863090162591,0.478662452284719,135.404223719463,0,10,1,0.1924,285.1179,0.0129,8.2309,0.547,2,2.55457830812686,Inverse Transform.D,20997
331674,331674,13.8186946611376,14,0.215273195371326,63.4731345398667,227.160589723094,0.772042677338683,0.244582289783284,-14.5982219690712,207.160589723095,5.73575828325337e-07,3.43737850997613,0.501971801391369,0.337677021991927,169.086932533023,0,10,1,0.1194,124.5118,0.0164,6.7514,0.6734,2,5.14015819728399,Inverse Transform.D,308727
432706,432706,13.6243359353109,14,0.266288217972162,77.2795308926431,198.928648028523,0.543288949409487,0.211513988720253,-13.6967722335481,147.725247183027,5.41452551756924e-07,3.511920775432,0.498383446095837,0.416285903283565,175.761104255247,0,10,1,0.2073,76.7592,0.0372,6.1241,0.5884,2,3.18334149823329,Inverse Transform.D,402806
126032,126032,13.1541950358664,15,0.200488233127961,54.9999566910475,282.846599590423,0.338630896681093,0.0899276946671307,-19.1555406990867,262.846599590423,5.9393513081334e-07,3.3975966467599,0.534449024936473,0.524764200912333,148.264017497584,0,10,1,0.1619,130.5113,0.0338,10.1699,0.5398,6,2.45994641219633,Inverse Transform.D,117344
413574,413574,13.8377168427789,13,0.257883786378269,49.2930135234898,196.166674166452,0.7162446163127,0.0901894705370069,-20.3253746904036,149.690710675598,5.50570880856999e-07,3.5426047080706,0.454722312619403,0.413315957049051,121.832329537802,0,10,1,0.2007,88.8296,0.0317,6.1147,0.5948,2,3.29539188562784,Inverse Transform.D,385032
401774,401774,13.648667326005,17,0.185833530177578,51.1707100369809,212.480689406643,0.462120022083388,0.0876199292950332,-23.3231596886753,198.238455488016,5.65361881980469e-07,3.46632769941524,0.457374149324051,0.510867094943154,136.787553199638,0,10,1,0.1725,81.0198,0.0516,9.6518,0.5377,4,2.43306574994773,Inverse Transform.D,374031
382852,382852,13.8172223358812,13,0.0771325451007627,70.8233113181443,264.788285167287,0.493349820734346,0.135327551886439,-24.34816999923,244.788285167287,5.28591754066674e-07,3.55561667922498,0.47514629751179,0.578644238868723,167.461110111811,0,10,1,0.1751,1080.7137,0.0051,10.7126,0.5153,4,2.16509120790751,Inverse Transform.D,356402
82865,82865,13.9252554039722,14,0.261179524327921,55.9972538609191,246.879766092619,0.522726660848586,0.238466045027599,-24.78917833049,226.879766092619,5.33013299825657e-07,3.46818227764929,0.51683650576982,0.458302550986369,129.540307043787,0,10,1,0.2009,106.1397,0.0319,7.0964,0.5667,2,2.83453138350809,Inverse Transform.D,77105
117513,117513,13.6773604544663,17,0.228780399911478,53.407229277875,262.786995155514,0.270365880509922,0.169163540331647,-17.056134317853,200.491179040573,5.75320865751957e-07,3.40866250856983,0.520268616659176,0.396504660892073,129.053940810815,0,10,1,0.1143,90.2202,0.0291,9.3456,0.6207,4,3.79841048191223,Inverse Transform.D,109380
