run_id,exec,run_label,run_number,run_name,run_retro,run_time_total,run_time_avg,n_par,low_bfmi,divergent,treedepth,max_rhat,min_neff,prop_rhat_105,prop_rhat_101,prop_neff_01,prop_neff_400,n_obs,looic,p_loo,elpd_loo,prop_pareto_k,total_ll,index_ll_1,index_ll_2,index_ll_3,median_rmse,index_rmse_1,index_rmse_2,logK,r,sigmao,sigmap,shape,msy-p0.5,Dmsy-p0.5,Pmsy-p0.5,Umsy-p0.5,Fmsy-p0.5,initial_population-p0.5,initial_depletion-p0.5,initial_U-p0.5,initial_F-p0.5,latest_population-p0.5,latest_depletion-p0.5,latest_U-p0.5,latest_F-p0.5,latest_P_Pmsy-p0.5,latest_D_Dmsy-p0.5,latest_U_Umsy-p0.5,latest_F_Fmsy-p0.5,recent_P_Pmsy-p0.5,recent_D_Dmsy-p0.5,recent_U_Umsy-p0.5,recent_F_Fmsy-p0.5,PriorMean_logK,PriorMean_logr,PriorMean_logshape,PriorMean_logsigmap,PriorMean_logsigmao,PriorSD_logK,PriorSD_logr,PriorSD_logshape,PriorSD_logsigmap,PriorSD_logsigmao,PriorMin_logk,PriorMax_logk,PriorSD_sigmaf,PriorSD_sigmao_add,catch_ll,median_index_rmse,median_catch_rmse,retro,hcxval,coverage_pmsy,coverage_fmsy,n_retro
0001-2024cpueExPrior_0-bspm_estF,bspm_estF,0001-2024cpueExPrior_0,0001-2024cpueExPrior,0,0,134.645,116.5238,147,0,0,0,1.00884004716085,0.723969620973639,1,1,0,1,114,1458.61164706384,47.2084991263488,-729.305823531919,0.535087719298246,-345.015375292347,-692.504963363726,-1.62577440423903,-1.62577440423903,0.28049273515968,0.28049273515968,0.28049273515968,13.825655002411,0.274228925534883,0.267942003694931,0.0654706132939645,1.96544369129841,67408.2378148115,0.496632916338909,499954.7835374,0.137114462767442,0.147473238443175,1010118.52587715,0.998683348723544,0.000668016941144129,0.000668240163890235,825869.05851146,0.831404560042604,0.000776405449385635,0.000776707009521413,1.67695749903502,1.67695749903502,0.00572776947682765,0.00528246509854479,1.60994011020829,1.60994011020829,0.201397535438343,0.18901169040494,13.8633826342304,-0.673608682971451,0.693147180559945,-2.9311037,,0.456389088374683,0.457669490048041,0.1,0.2661089,,,,0.025,0.2,,,,0.00581323688294362,0.966121271922568,1,1,5
0002-2024cpueDepPrior_0-bspm_estF_softdep,bspm_estF_softdep,0002-2024cpueDepPrior_0,0002-2024cpueDepPrior,0,0,136.75,127.7452,147,0,0,0,1.00864809498729,0.674040092332321,1,1,0,1,114,1462.9944222911,50.8455573703682,-731.497211145549,0.491228070175439,-345.818210531545,-692.995032513724,0.0239905357803324,0.0239905357803324,0.269598135425207,0.269598135425207,0.269598135425207,13.6975084677472,0.227768437998257,0.260125475674221,0.0665703679966942,1.95503510429064,48964.2557434949,0.49560686418314,439351.869060663,0.113884218999129,0.12090765867337,888928.974095991,1.00004481202271,0.000759651226454574,0.000759939908496012,641589.897743764,0.732843855624429,0.000967355675895725,0.000967823866774664,1.4765613593812,1.4765613593812,0.00884201529336274,0.00830199312934328,1.42141032090805,1.42141032090805,0.320675991312063,0.306369151881872,13.8633826342304,-0.673608682971451,0.693147180559945,-2.9311037,,0.456389088374683,0.457669490048041,0.1,0.2661089,,,,0.025,0.2,,,,-0.00501427066585514,0.862903720932678,1,1,5
0003-2024cpueFPrior_0-bspm_estF_softdep,bspm_estF_softdep,0003-2024cpueFPrior_0,0003-2024cpueFPrior,0,0,112.669,90.277,147,0,0,0,1.00754589147823,0.728314722483403,1,1,0,1,114,1458.19154553498,49.2171593269662,-729.095772767492,0.570175438596491,-344.702940131626,-692.653058729133,0.837224416476876,0.837224416476876,0.264571407748555,0.264571407748555,0.264571407748555,13.2989480730457,0.234336079247997,0.25768070074071,0.0606989185450804,1.97359834125769,33007.9027055903,0.497432911103925,296845.701783064,0.117168039623999,0.124620406934667,595443.215854461,0.999973015853815,0.00109599960396648,0.00109660065183575,362965.244016404,0.617900466574296,0.00168799817552323,0.00168942444991978,1.23606591171732,1.23606591171732,0.0150997455839365,0.014166315908431,1.18734668700692,1.18734668700692,0.556929997154801,0.541691788611143,13.8633826342304,-0.673608682971451,0.693147180559945,-2.9311037,,0.456389088374683,0.457669490048041,0.1,0.2661089,,,,0.047263287264325,0.2,,,,-0.0255426370843792,0.778884329664638,1,1,5
0004-2024cpueShapePrior_0-bspm_estF_softdep,bspm_estF_softdep,0004-2024cpueShapePrior_0,0004-2024cpueShapePrior,0,0,131.405,107.1228,147,0,0,0,1.00914547401162,0.646831748525747,1,1,0,1,114,1458.7815687399,49.1720349179714,-729.39078436995,0.570175438596491,-342.692317637519,-693.00704857886,0.508210015656414,0.508210015656414,0.265982461239377,0.265982461239377,0.265982461239377,13.4790166657476,0.302688090181408,0.257241864464541,0.0620806632994045,0.967107712008498,37343.0449211122,0.36174493430122,253476.1669004,0.151344045090704,0.164101448355016,708640.951806793,0.998318762198525,0.000958917375789657,0.000959377431577966,408739.914972893,0.593097378802015,0.00151325081117417,0.00151439693218097,1.65534962567797,1.65534962567797,0.0098053348187346,0.00902320243505502,1.59453744764308,1.59453744764308,0.365243830661934,0.346959526930399,13.8633826342304,-0.673608682971451,0.323744220720267,-2.9311037,,0.456389088374683,0.457669490048041,0.457336028212382,0.2661089,,,,0.047263287264325,0.2,,,,-0.0111906427562509,0.770227435251837,1,1,5
0005-2024cpueMVPrior_0-bspm_estF_softdep_mvprior,bspm_estF_softdep_mvprior,0005-2024cpueMVPrior_0,0005-2024cpueMVPrior,0,0,123.598,104.5284,147,0,0,0,1.00999409347715,0.709813744294888,1,1,0,1,114,1460.52437057205,50.1507488904789,-730.262185286025,0.56140350877193,-345.901867651788,-693.245445465362,0.657409217910088,0.657409217910088,0.264867254439164,0.264867254439164,0.264867254439164,13.2492185423198,0.309148017023898,0.255362256489751,0.0650412583088179,1.77044505641838,39987.2910321423,0.476432074112226,269836.435689459,0.154574008511949,0.167914650941865,565326.535868717,0.99805425153332,0.00119514565920694,0.00119586041533275,383217.394597296,0.684019946161437,0.00166201743048911,0.0016634001137352,1.44737046062426,1.44737046062426,0.010759716681497,0.00986117624924489,1.38312112194015,1.38312112194015,0.400294141984436,0.378713661621483,,,,-2.9311037,,,,,0.2661089,,,,0.047263287264325,0.2,,,,0.0241655791528038,0.886990409532272,1,1,5
0006-2024cpueEffortQeff_0-bspm_estq_softdep_mvprior,bspm_estq_softdep_mvprior,0006-2024cpueEffortQeff_0,0006-2024cpueEffortQeff,0,0,540.976,408.6828,163,0,0,0,1.00857944558516,0.71347678598443,1,1,0,1,114,1463.9928581176,53.7295659732534,-731.996429058802,0.649122807017544,-693.029677248022,3.97477090613032,3.97477090613032,,,0.243058876384605,0.243058876384605,12.7940743868969,0.394458815780315,0.238024082679024,0.0716252620457919,1.42302907030437,29325.0592349496,0.43432750426534,158995.846118011,0.197229407890157,0.219686295171019,348422.016473404,0.977580654319382,0.00344762234097551,0.00345357908596624,146725.70775424,0.416321889690742,0.128090780041695,0.13706997181292,0.961238491388382,0.961238491388382,0.65433333432885,0.629967940779547,0.927724312180089,0.927724312180089,0.703899524941398,0.67518447998572,,,,-2.9311037,,,,,0.2661089,,,,,0.2,-697.075267549124,0.243058876384605,0.211728946478222,-0.0991922322098555,0.591761746640657,1,1,5
