year,fleet,idx,se
1983,obsNoPF,NA,NA
1983,obsPFonly,NA,NA
1984,au,NA,NA
1984,dwfn,1.32673,0.795235543155633
1984,nz,0.81846966002448,0.718838762757351
1984,obs,NA,NA
1984,obsNoPF,NA,NA
1984,obsPFonly,NA,NA
1985,au,NA,NA
1985,dwfn,0.877509,0.786849235283844
1985,nz,0.417877398877922,0.896139003702325
1985,obs,NA,NA
1985,obsNoPF,NA,NA
1985,obsPFonly,NA,NA
1986,au,NA,NA
1986,dwfn,0.855618,0.866819099546232
1986,nz,0.516899171945363,0.856530000587671
1986,obs,NA,NA
1986,obsNoPF,NA,NA
1986,obsPFonly,NA,NA
1987,au,NA,NA
1987,dwfn,0.835362,0.930166317805239
1987,nz,0.406936274462856,0.974828106329213
1987,obs,NA,NA
1987,obsNoPF,NA,NA
1987,obsPFonly,NA,NA
1988,au,NA,NA
1988,dwfn,0.736157,1.00085605454427
1988,nz,0.769280571267672,0.638210346921585
1988,obs,NA,NA
1988,obsNoPF,NA,NA
1988,obsPFonly,NA,NA
1989,au,NA,NA
1989,dwfn,1.65752,0.779014816055979
1989,nz,1.3045681876081,0.521910321455856
1989,obs,NA,NA
1989,obsNoPF,NA,NA
1989,obsPFonly,NA,NA
1990,au,NA,NA
1990,dwfn,1.13159,0.875031442519393
1990,nz,1.0931930192868,0.540304413406727
1990,obs,NA,NA
1990,obsNoPF,NA,NA
1990,obsPFonly,NA,NA
1991,au,NA,NA
1991,dwfn,1.02708,0.929326487260139
1991,nz,0.69296852702814,0.6360947325119
1991,obs,NA,NA
1991,obsNoPF,NA,NA
1991,obsPFonly,NA,NA
1992,au,NA,NA
1992,dwfn,0.558306,1.16158762329728
1992,nz,0.879795122082031,0.577033830241533
1992,obs,NA,NA
1992,obsNoPF,NA,NA
1992,obsPFonly,NA,NA
1993,au,NA,NA
1993,dwfn,0.81207,0.948666584955881
1993,nz,0.967416059624531,0.576211091304433
1993,obs,NA,NA
1993,obsNoPF,NA,NA
1993,obsPFonly,NA,NA
1994,au,NA,NA
1994,dwfn,1.12053,0.902073986071629
1994,nz,1.82100764844359,0.516621285431644
1994,obs,NA,NA
1994,obsNoPF,NA,NA
1994,obsPFonly,NA,NA
1995,au,NA,NA
1995,dwfn,1.11373,1.00592503176291
1995,nz,1.87966678606386,0.539599208603499
1995,obs,NA,NA
1995,obsNoPF,NA,NA
1995,obsPFonly,NA,NA
1996,au,NA,NA
1996,dwfn,1.1907,0.906495094012622
1996,nz,1.4514918583247,0.554232208270485
1996,obs,NA,NA
1996,obsNoPF,NA,NA
1996,obsPFonly,NA,NA
1997,au,NA,NA
1997,dwfn,1.31626,0.944473431019986
1997,nz,1.2352437522387,0.799525945660052
1997,obs,NA,NA
1997,obsNoPF,NA,NA
1997,obsPFonly,NA,NA
1998,au,1.30883349205235,1.07412097920115
1998,dwfn,1.99334,0.827311071188863
1998,nz,1.2214524189424,0.771670355932535
1998,obs,NA,NA
1998,obsNoPF,NA,NA
1998,obsPFonly,NA,NA
1999,au,1.2275668140491,1.05283101537808
1999,dwfn,1.18608,1.07194171139741
1999,nz,1.74966048419073,0.566808360594723
1999,obs,NA,NA
1999,obsNoPF,NA,NA
1999,obsPFonly,NA,NA
2000,au,1.18529439804741,0.950955052462453
2000,dwfn,0.788006,1.15947005056571
2000,nz,0.970725979615643,0.749397637563909
2000,obs,NA,NA
2000,obsNoPF,NA,NA
2000,obsPFonly,NA,NA
2001,au,1.08782508004351,0.943657754231057
2001,dwfn,0.727835,1.13656067305329
2001,nz,1.10008868593495,0.795823620443104
2001,obs,0.978711550680303,1.18844192137688
2001,obsNoPF,0.91091090253985,1.55111277016795
2001,obsPFonly,NA,NA
2002,au,0.894598401035784,0.863598109352736
2002,dwfn,0.803887,1.02471923960434
2002,nz,0.952337535220575,0.957374287449313
2002,obs,1.01616477718916,1.11467404747362
2002,obsNoPF,0.881938890368818,1.02163245853004
2002,obsPFonly,1.95307405463573,2.08112237830185
2003,au,0.932047491037282,0.860720674987794
2003,dwfn,1.3191,0.925361287329343
2003,nz,1.59961077792697,0.763501733628475
2003,obs,1.02478441796444,0.957066866292934
2003,obsNoPF,0.908906149658888,0.957247190438583
2003,obsPFonly,1.54180234392456,1.17191844276348
2004,au,0.923900053036956,0.897071480592391
2004,dwfn,1.26325,0.948954526857058
2004,nz,1.29353512097106,0.750279143567945
2004,obs,0.911240842744363,0.890426241124658
2004,obsNoPF,0.692146823369485,0.708634935066833
2004,obsPFonly,0.975362937060319,0.787181112552089
2005,au,0.902040215036082,0.878521620908521
2005,dwfn,1.04284,1.04206174036066
2005,nz,1.18063007238535,0.737644224176771
