name,year,mean,median,q025,q975,sd,n
D,1952,1.0063684555819,1.00356090380812,0.865904324779624,1.15794332648052,0.0735762399924316,4000
D_Dmsy,1952,2.22448230886963,2.08354680272396,1.38584139237878,3.85274009358881,0.651746046843998,4000
F,1952,0.0211128808991612,0.0201977319285465,0.00380198796119515,0.0442476824321967,0.0100022444568771,4000
F_Fmsy,1952,0.0944529202429214,0.0914198848266426,0.0132517133558314,0.193507102866245,0.0446438052360278,4000
P,1952,443122.410133971,327216.862148077,182729.281882445,1691076.01627188,446487.849047094,4000
removals,1952,6891.70377103773,6720.72136542023,3651.64137674927,11076.5790124816,1924.30409435114,4000
D,1953,0.985633436476636,0.981417832075265,0.837443623320588,1.16924419690791,0.083349485907305,4000
D_Dmsy,1953,2.18085045203659,2.02752472274616,1.32751747869516,3.84490095731424,0.656230816708035,4000
F,1953,0.0412731546649475,0.0399121633271512,0.00745478384656188,0.0821321711265828,0.0184143104818439,4000
F_Fmsy,1953,0.183529945618269,0.181694650574202,0.0261036631961204,0.350793790747893,0.0789782084074966,4000
P,1953,435586.691974252,321471.157888165,176792.496261501,1679135.27186967,445981.260964803,4000
removals,1953,13306.4766225233,13192.2076617646,8628.72710654999,18714.8189444985,2544.00690269049,4000
D,1954,0.973005319751601,0.964810820895037,0.812560993380367,1.17939880990398,0.0913041345872246,4000
D_Dmsy,1954,2.15189580079699,1.99881706653175,1.31982047235483,3.8479499180833,0.651692642647418,4000
F,1954,0.206493485128245,0.197851123246041,0.0356539133174508,0.419098786540615,0.0976710515567328,4000
F_Fmsy,1954,0.90859293474522,0.90056996764206,0.122523041664762,1.74328769516373,0.390548725738286,4000
P,1954,433491.261058668,317408.715846273,168563.727998259,1708501.77540447,455637.636412665,4000
removals,1954,60585.6250163307,60155.2737860442,38767.0425707191,83548.2344450405,11448.8687819325,4000
D,1955,0.829545994828297,0.822869044574242,0.609335471593621,1.11128569886242,0.127254805317698,4000
D_Dmsy,1955,1.82204752075359,1.68149654748897,1.12109821333098,3.24811051899142,0.56227470654922,4000
F,1955,0.0928746869061725,0.0882446610208802,0.0152802095479807,0.19752328718376,0.046347746704781,4000
F_Fmsy,1955,0.403514486721565,0.39810513687455,0.0503527575712711,0.744850150361709,0.170244638878788,4000
P,1955,387685.543264388,269441.996449934,122486.838627063,1701022.91027219,464517.168102271,4000
removals,1955,24965.5461272723,24924.8566364023,16004.8672513399,34506.1732521131,4683.93515228786,4000
D,1956,0.816893123261171,0.807923345668293,0.589013869742297,1.10012367709508,0.129816634305131,4000
D_Dmsy,1956,1.78778869853676,1.66321681588376,1.11881808264806,3.13501257821412,0.532713931059275,4000
F,1956,0.102717300134142,0.0973144774603131,0.0153871309101669,0.213734341263021,0.0511472409029153,4000
F_Fmsy,1956,0.44184663005295,0.441311206049174,0.0524641311057124,0.783278785917289,0.177205412414594,4000
P,1956,382934.844763034,264291.05470968,121835.115532741,1651170.70197376,461939.6647822,4000
removals,1956,26115.4086455881,25947.8893572895,18394.728863093,35141.1521993114,4197.57331228355,4000
D,1957,0.777277948948951,0.769865332739138,0.55330371700209,1.04862156323848,0.126948151557061,4000
D_Dmsy,1957,1.69444971702138,1.58843080025585,1.07720158341389,2.89905367400363,0.483407126652943,4000
F,1957,0.172449054209306,0.162019723478733,0.0239720986999074,0.378791157079249,0.0905777701893617,4000
F_Fmsy,1957,0.736265298676845,0.728864316766478,0.0793371322462566,1.35998055087291,0.305328604711387,4000
P,1957,366953.544242968,249280.548084266,116220.250507513,1622321.66295903,456061.584257203,4000
removals,1957,39885.6692783825,39317.1519765795,26816.0612540327,57578.9257746412,7844.76012965198,4000
D,1958,0.69381476511134,0.684833528548575,0.454940230776371,0.981777514314057,0.134676096690305,4000
D_Dmsy,1958,1.5033191180991,1.41059869203816,0.947954275450042,2.52077826530113,0.42805616600427,4000
F,1958,0.175259812798689,0.165211577649893,0.023194118358138,0.387139743947276,0.092271782183951,4000
F_Fmsy,1958,0.742016126615465,0.748348818925168,0.0804293540321999,1.30261343972441,0.290676496471206,4000
P,1958,335120.736924283,221469.797893449,98168.935635761,1539632.34318837,439863.174956561,4000
removals,1958,37585.7185649702,37320.7762617356,27416.2713707311,49387.1940327836,5493.94938374439,4000
D,1959,0.653029161331693,0.639421991444314,0.397715335637068,0.975921909938516,0.147295318442179,4000
D_Dmsy,1959,1.40942276818902,1.32157737224458,0.866319486718383,2.4154495853437,0.421021082202854,4000
F,1959,0.152002758385539,0.142664118769359,0.019206225431121,0.338994937097964,0.0804159818982578,4000
F_Fmsy,1959,0.640846620681825,0.651148084041432,0.066607122947893,1.1182418267293,0.249272066482588,4000
P,1959,321585.767234368,207713.430279081,85536.901626584,1562656.18599544,441734.609816965,4000
removals,1959,30976.6026747838,30657.455345153,23012.1834690903,40655.2697475448,4468.39327723179,4000
D,1960,0.634056608169234,0.618508317147984,0.372210855390985,0.982489165346776,0.153452534829308,4000
D_Dmsy,1960,1.36532532686157,1.27631865311851,0.824594204264174,2.38606900346491,0.416357140762766,4000
F,1960,0.170203851394357,0.157991607366074,0.0204233607530925,0.377529282814833,0.0918234751188507,4000
F_Fmsy,1960,0.71279103153408,0.726060865693009,0.0705192955412987,1.22443932220307,0.274569209491172,4000
P,1960,315259.873009855,200422.738949644,82344.2297933424,1591708.91963554,442402.957959239,4000
removals,1960,33325.8793730265,32861.6924780242,25197.1155122368,43763.4400667392,4750.90634416391,4000
D,1961,0.611106618403959,0.591995824688371,0.345539426756258,0.976404039034137,0.159922067736535,4000
D_Dmsy,1961,1.31309963830735,1.22139994046251,0.784649954642282,2.36108049101816,0.418638675725277,4000
F,1961,0.228100730958697,0.209326874267803,0.0259105007926064,0.525631940761956,0.128156510495412,4000
F_Fmsy,1961,0.945691326951319,0.961397969108457,0.0863986668507086,1.62132840892359,0.365803010589127,4000
P,1961,307502.924532645,191456.396036065,76159.4087957634,1536845.67624995,440810.945753546,4000
removals,1961,41885.2163600755,41622.2639327618,30741.7968535804,54257.8851973498,6011.17188428358,4000
D,1962,0.569967000140627,0.547632157493615,0.292181986479655,0.971274046238237,0.173443387438841,4000
D_Dmsy,1962,1.21921724208765,1.12480257421047,0.703872998109906,2.28697704740707,0.426888561574584,4000
F,1962,0.246858913748814,0.222983266315036,0.0263520190871869,0.596711342579157,0.146540466378581,4000
F_Fmsy,1962,1.00952097190612,1.02973607832339,0.0877855534555443,1.73460266352958,0.389385126483532,4000
P,1962,294263.098305445,176520.504930185,65161.8680616322,1517722.27921046,440898.885612945,4000
removals,1962,40638.0838518577,40274.6707477329,30663.7114562439,53036.4493184085,5568.91776802122,4000
D,1963,0.523203000364726,0.496561025902909,0.236676457120185,0.954029548234059,0.183228169483982,4000
D_Dmsy,1963,1.11336998654193,1.02239552211938,0.593405439005217,2.22608989042162,0.428872203153001,4000
F,1963,0.251730315966735,0.224793533643782,0.0240797183558383,0.627734456524432,0.156461730355119,4000
F_Fmsy,1963,1.01675507708809,1.03824230640626,0.0851198998844871,1.75563269938751,0.397970459736214,4000
P,1963,278102.025034146,160172.174976609,53107.7988701539,1518373.61358052,441752.488104635,4000
removals,1963,37622.746196926,37263.5903604298,28432.1499717635,48628.8890463453,5167.53129353173,4000
D,1964,0.49122669176655,0.458253631686323,0.19698729642072,0.954103982368268,0.195321188186839,4000
D_Dmsy,1964,1.04073107521,0.949507505259954,0.50294595868793,2.17394782180203,0.445614265609008,4000
F,1964,0.136251848863585,0.119276481251105,0.0122171156892005,0.349583263045477,0.08755450706623,4000
F_Fmsy,1964,0.546991859624042,0.559578216051594,0.0438498288358364,0.946896660505224,0.218805191303716,4000
P,1964,267942.457898609,148686.098489556,42786.4941524675,1534620.89527659,442301.3444202,4000
removals,1964,19743.0631550624,19553.4895076384,14873.1922439126,25809.3286402729,2763.43454253278,4000
D,1965,0.507904315412677,0.478360595290662,0.216466245552039,0.963109581249073,0.193799641667544,4000
D_Dmsy,1965,1.07852343742185,0.986940528825137,0.537656985497086,2.25061947975567,0.445422824250726,4000
F,1965,0.173606447923915,0.149744459086119,0.0154122851336303,0.453383926645176,0.114077490849897,4000
F_Fmsy,1965,0.693669030685976,0.706805424045667,0.0570171259423263,1.19542840979536,0.277896333917284,4000
P,1965,273416.476543036,153393.930269478,47067.1437498388,1539280.42131246,443982.667909289,4000
removals,1965,25327.1588851268,25140.198048261,18606.4186549617,33447.5552794838,3710.17396691607,4000
D,1966,0.505925402839235,0.476090584030531,0.207745625984736,0.969307308515289,0.195816879131706,4000
D_Dmsy,1966,1.07401523007632,0.98314584071527,0.535286024158426,2.22183065015789,0.451638261450651,4000
F,1966,0.272183910056967,0.233068773363216,0.0223315956568999,0.740372552365273,0.182393979563072,4000
F_Fmsy,1966,1.08420324357889,1.10081340241061,0.0857404186559894,1.94494166536932,0.447677334300793,4000
P,1966,272488.761104185,153800.619097691,46265.9577076964,1523535.61947903,442925.06809374,4000
removals,1966,36941.0345339752,36516.5803238973,27033.4303727239,50147.9839616789,5883.60565601049,4000
D,1967,0.461466145035517,0.431830628283439,0.158973099071798,0.93739067909424,0.201094774108805,4000
D_Dmsy,1967,0.974412950258889,0.887570853675396,0.422206900339327,2.1534637946238,0.456413735278332,4000
F,1967,0.131021065830792,0.113146361075124,0.0114960062556468,0.359743585641751,0.0881736974578124,4000
F_Fmsy,1967,0.522376816467404,0.531361340687309,0.0395764537337283,0.915603759300684,0.213155537496513,4000
P,1967,255288.589815013,139274.302509684,33500.1437844136,1481890.9282337,434232.057211024,4000
removals,1967,17550.7456850049,17432.2382259433,12756.9540028712,23060.3115899428,2592.50452436636,4000
D,1968,0.484151165275458,0.456492537844298,0.181131584085914,0.947957165333042,0.198793112098003,4000
D_Dmsy,1968,1.02585940572933,0.944966299280292,0.462512787808006,2.17377629646796,0.45691423698827,4000
F,1968,0.134842425080548,0.116437696640672,0.0121904271357948,0.350574666813573,0.0882414080614579,4000
F_Fmsy,1968,0.542413141304187,0.549494127262472,0.0417393679786147,0.977757451897689,0.225605452821048,4000
P,1968,262878.404301799,147150.730924236,39001.1071326539,1498760.59983029,434430.493297307,4000
removals,1968,18999.6792367261,18589.8055430256,13907.4298800137,26577.5699356799,3189.02447895838,4000
D,1969,0.49816846352506,0.471423586679086,0.197645909505277,0.950301566401244,0.193727252372311,4000
D_Dmsy,1969,1.05756651684821,0.979232255258354,0.494625959288245,2.16943183944218,0.447036822624802,4000
F,1969,0.12542196410939,0.110871112975156,0.0117446528168491,0.316722015556468,0.0784784152764933,4000
F_Fmsy,1969,0.510073115749473,0.515550300303603,0.0419509747156318,0.922946867255185,0.210401829164371,4000
P,1969,266396.377695209,151319.718224933,43829.5917743221,1507456.42543273,432056.012395196,4000
removals,1969,18903.6635957438,18448.2845857307,13772.9723870713,26863.7272147428,3321.5914848415,4000
D,1970,0.522004996653715,0.495586722139101,0.227287430194381,0.968665901018529,0.190780189705136,4000
D_Dmsy,1970,1.11057854644638,1.03385689476471,0.546062273492667,2.21307436399841,0.441682532630108,4000
F,1970,0.158402670653913,0.142912656698873,0.0162895645230594,0.38758877620653,0.0960653474882769,4000
F_Fmsy,1970,0.647044702562247,0.66030358483331,0.0569992782978466,1.14246224653378,0.260956626161671,4000
P,1970,274806.986782778,158956.608949963,51799.0109730225,1527089.39689201,436494.967692084,4000
removals,1970,25516.1969435531,25272.1848507057,17583.6828729921,34750.1734130148,4463.46486427055,4000
