run_label,Year,Removals,Numbers,Depletion,Fishing mortality,D_Dmsy,F_Fmsy
0105-dwfn-alt_0,1952,6602.44420195821,339664.119964818,1.00427811580421,0.0189348739846916,1.74518040208986,0.111729830320669
0105-dwfn-alt_0,1953,12869.0911581269,335154.95527599,0.979401482036284,0.0377660831577839,1.71378598926042,0.2211125040983
0105-dwfn-alt_0,1954,59123.1157854541,330011.511637158,0.960670312043522,0.185589271858725,1.67856811975628,1.09106019153436
0105-dwfn-alt_0,1955,24495.1499015882,284521.16052566,0.829348630756556,0.0817973973492016,1.43194550781209,0.480363771033468
0105-dwfn-alt_0,1956,25541.9644456698,282951.206676662,0.827596635229178,0.0888066043614253,1.42948943677089,0.525999308346337
0105-dwfn-alt_0,1957,38469.0287462077,271982.664175399,0.800690410380129,0.142608265175953,1.39035084630973,0.845367831150421
0105-dwfn-alt_0,1958,36797.0950229528,251868.74756029,0.732233187702157,0.142331260298269,1.26576843833549,0.851217791928699
0105-dwfn-alt_0,1959,30584.6904392783,235370.382153125,0.694449574598466,0.125747487065637,1.20424213827866,0.736224617047684
0105-dwfn-alt_0,1960,32760.657572487,227435.654517549,0.679234713344807,0.139192706766378,1.17598461725226,0.814687541743573
0105-dwfn-alt_0,1961,41364.8520106363,218643.336472125,0.655896212137763,0.178583367569145,1.14518389293663,1.06039814870687
0105-dwfn-alt_0,1962,39808.9398250495,204477.929408885,0.614323076974811,0.185781703607723,1.06926222727391,1.11213224315397
0105-dwfn-alt_0,1963,37128.8031998984,192535.390404526,0.570837365137842,0.18125904902868,0.994665815892618,1.10499983504164
0105-dwfn-alt_0,1964,19365.6645893596,183474.917299373,0.548353701670438,0.094824989912685,0.944876151575238,0.579770953743104
0105-dwfn-alt_0,1965,24890.6164466472,190642.393677302,0.569394720972352,0.120553762581763,0.9848097302852,0.723939598935422
0105-dwfn-alt_0,1966,36032.6760045781,191442.038795849,0.576945091447263,0.182865635289134,0.989182006316422,1.12044953287664
0105-dwfn-alt_0,1967,17347.4240317532,181258.981867318,0.538448078665011,0.0890530753551028,0.925051269704228,0.533181379691762
0105-dwfn-alt_0,1968,18461.3790526098,189135.254255268,0.559328391487866,0.0913077055438933,0.966852443516833,0.547665656368974
0105-dwfn-alt_0,1969,18338.5212598211,196789.810966446,0.580021239738792,0.0852322102235154,1.00402321633903,0.518173196646395
0105-dwfn-alt_0,1970,24852.0825351957,207625.362401342,0.608949173255487,0.110045833624833,1.056189239026,0.666028953102697
0105-dwfn-alt_0,1971,33747.2242892812,216393.785297087,0.629664091657149,0.151721385229706,1.09523641914427,0.919400196197531
0105-dwfn-alt_0,1972,32114.2968975648,207778.173542009,0.605980433437094,0.152085394344328,1.05150525771295,0.920202785686385
0105-dwfn-alt_0,1973,31530.1771452646,197228.07293038,0.580303055133248,0.154692558735282,1.01369290106408,0.930721683053341
0105-dwfn-alt_0,1974,33059.2275102036,190512.945609746,0.562549961550639,0.165481468565107,0.972889971198217,0.997828368594499
0105-dwfn-alt_0,1975,17845.5415075137,185030.256996597,0.547088017977873,0.0842842590899224,0.944567930787414,0.504814641651104
0105-dwfn-alt_0,1976,21771.8648051414,200485.649534208,0.593693732829578,0.0998235312600226,1.02834225807178,0.599419884847676
0105-dwfn-alt_0,1977,23097.4829006639,207383.747457214,0.620621160187404,0.103417371960478,1.06664609688457,0.613122591462296
0105-dwfn-alt_0,1978,20075.3231983485,209802.89462971,0.628593219443222,0.0843151859250989,1.08821704204156,0.501108175630932
0105-dwfn-alt_0,1979,26323.4181292552,223641.998862287,0.664046341899502,0.111194701762137,1.16408417901071,0.674099222235577
0105-dwfn-alt_0,1980,36709.8990107548,218582.909602957,0.642831939886239,0.164105724427209,1.1350468802502,0.995919629105623
0105-dwfn-alt_0,1981,39132.2823658977,205217.722501619,0.599411707884337,0.187679303644705,1.043709830275,1.11629264537441
0105-dwfn-alt_0,1982,32654.7349195006,193619.191935835,0.561731130160529,0.166445152845616,0.968874187072693,0.996467849869041
0105-dwfn-alt_0,1983,23221.1517799187,181799.599042101,0.523010983698793,0.122597671889429,0.917874096664521,0.743978387255692
0105-dwfn-alt_0,1984,23335.2376139265,181942.848278641,0.530553082862664,0.123459992766766,0.91423268738071,0.758823995837211
0105-dwfn-alt_0,1985,26538.0068984232,176206.591454204,0.512533910893618,0.145832202754203,0.898727018542718,0.887803719040988
0105-dwfn-alt_0,1986,20363.0124872769,170091.069567499,0.495256402475362,0.109317971882016,0.864368385084849,0.657299097662551
0105-dwfn-alt_0,1987,19483.6700010828,176365.509694446,0.509648427514588,0.0993311491301211,0.892376084757606,0.608818668384767
0105-dwfn-alt_0,1988,33337.3525816112,184709.718584771,0.538877201904976,0.16896731324106,0.933388039198103,1.02226660199219
0105-dwfn-alt_0,1989,30065.5752932006,181436.806372883,0.528315699486405,0.155391098982206,0.916478600918455,0.938590609573208
0105-dwfn-alt_0,1990,25251.1301805758,176842.727181514,0.514239467102236,0.1339681122439,0.906666694839635,0.819209329588611
0105-dwfn-alt_0,1991,22338.4595414062,173052.587663537,0.506045637191706,0.120529706804876,0.873412485868137,0.734393074229456
