run_label,Year,Obs_CPUE,Pred_CPUE,Std_Residual
0102-nz-b_0,1952,,3.28245782932584,
0102-nz-b_0,1953,,3.16291927472822,
0102-nz-b_0,1954,,3.14429044109356,
0102-nz-b_0,1955,,2.57125072453635,
0102-nz-b_0,1956,,2.47501287685234,
0102-nz-b_0,1957,,2.32844782733036,
0102-nz-b_0,1958,,1.9741675948383,
0102-nz-b_0,1959,,1.78451782365513,
0102-nz-b_0,1960,,1.7019626960001,
0102-nz-b_0,1961,,1.60977346431014,
0102-nz-b_0,1962,,1.42883643801402,
0102-nz-b_0,1963,,1.2459368455461,
0102-nz-b_0,1964,,1.13480510440373,
0102-nz-b_0,1965,,1.17599137135394,
0102-nz-b_0,1966,,1.15881706840157,
0102-nz-b_0,1967,,1.00629518967878,
0102-nz-b_0,1968,,1.06888580578583,
0102-nz-b_0,1969,,1.12115561328524,
0102-nz-b_0,1970,,1.18059789704025,
0102-nz-b_0,1971,,1.2327485325213,
0102-nz-b_0,1972,,1.131913825585,
0102-nz-b_0,1973,,1.03866421001491,
0102-nz-b_0,1974,,0.96599182840855,
0102-nz-b_0,1975,0.395443496715939,0.880207502457246,-0.122190099162561
0102-nz-b_0,1976,0.473318558729052,1.0013453792831,-0.170898377122106
0102-nz-b_0,1977,0.84292629106992,1.06364012212899,-0.0524589908890148
0102-nz-b_0,1978,1.24802372109327,1.13103740672813,0.078546359165654
0102-nz-b_0,1979,1.30199380539279,1.28280688832123,-0.00888635031901566
0102-nz-b_0,1980,1.73044455979788,1.30260088583615,0.163616790739696
0102-nz-b_0,1981,1.15341517468064,1.17073691072487,0.00690419007040187
0102-nz-b_0,1982,1.52872332478398,1.03884799969795,0.261330172048247
0102-nz-b_0,1983,1.09310107706482,0.943096830487154,0.143012209855884
0102-nz-b_0,1984,0.81846966002448,0.891050028887454,0.0604508397563859
0102-nz-b_0,1985,0.417877398877922,0.850096115804777,-0.0856327740984984
0102-nz-b_0,1986,0.516899171945363,0.804300880523113,-0.0104187888977113
0102-nz-b_0,1987,0.406936274462856,0.865727635865154,-0.104446681036099
0102-nz-b_0,1988,0.769280571267673,0.977835993380989,-0.0252197232411318
0102-nz-b_0,1989,1.3045681876081,1.00495161469843,0.188170119576286
0102-nz-b_0,1990,1.0931930192868,1.01386964810377,0.0935547000234362
0102-nz-b_0,1991,0.69296852702814,1.00183947367098,-0.0738160754859948
0102-nz-b_0,1992,0.879795122082031,1.08094200510716,-0.0485547640620397
0102-nz-b_0,1993,0.967416059624531,1.18804911575832,-0.0889518399928852
0102-nz-b_0,1994,1.82100764844359,1.40928741449342,0.126347145778353
0102-nz-b_0,1995,1.87966678606386,1.47264273880983,0.109577254941495
0102-nz-b_0,1996,1.4514918583247,1.45339664193332,-0.0638919406078279
0102-nz-b_0,1997,1.2352437522387,1.51184665157454,-0.205527833035864
0102-nz-b_0,1998,1.2214524189424,1.54673704514414,-0.231904855354478
0102-nz-b_0,1999,1.74966048419073,1.46635419827489,0.0554492330139746
0102-nz-b_0,2000,0.970725979615643,1.34562515235456,-0.205731121179863
0102-nz-b_0,2001,1.10008868593495,1.29386718480009,-0.109268682461266
0102-nz-b_0,2002,0.952337535220575,1.25874121645858,-0.149632023067589
0102-nz-b_0,2003,1.59961077792697,1.23969348137685,0.154003634361201
0102-nz-b_0,2004,1.29353512097106,1.16803976448524,0.0665342208402151
0102-nz-b_0,2005,1.18063007238535,1.10751254686696,0.0635640821300772
0102-nz-b_0,2006,1.29408677430292,1.08249318671847,0.130236817688773
0102-nz-b_0,2007,1.21391315674042,1.08265837462,0.0960493011764004
0102-nz-b_0,2008,0.642124478275777,1.06801425698877,-0.144523482939215
0102-nz-b_0,2009,1.29610950318637,1.07296963128965,0.138078574919938
0102-nz-b_0,2010,0.818929371134356,1.03372190494172,-0.0372759829523344
0102-nz-b_0,2011,0.910136055333894,0.963110859363447,0.047340042627451
0102-nz-b_0,2012,0.872991397655856,0.931047915233643,0.058105112291677
0102-nz-b_0,2013,0.999136126206023,0.873154442974648,0.146642620986736
0102-nz-b_0,2014,0.809459322270896,0.862010278527984,0.0713246003013738
0102-nz-b_0,2015,0.615277349458978,0.832183010994134,0.00550824845943987
0102-nz-b_0,2016,0.970817921837618,0.803718076823144,0.184282779233514
0102-nz-b_0,2017,0.574363060679951,0.81398783829029,-0.00138287259714312
0102-nz-b_0,2018,0.60911722058663,0.839302156043654,-0.00138955563192978
0102-nz-b_0,2019,0.741146251343218,0.877437450966747,0.038914914471728
0102-nz-b_0,2020,0.379905261202106,0.88073860499866,-0.127932358552966
0102-nz-b_0,2021,0.583557282877485,0.915228755645006,-0.061393393534259
0102-nz-b_0,2022,0.578684345112792,0.97444488440103,-0.0998389525505528
