run_label,Year,Removals,Numbers,Depletion,Fishing mortality,D_Dmsy,F_Fmsy
0100-dwfn-b_0,1952,6755.05091940295,369347.890418446,1.00585445682584,0.0180538679485499,2.34815980136163,0.0871051668749204
0100-dwfn-b_0,1953,13252.5552187359,366760.210454851,0.988454049910864,0.0358072337630989,2.29959797077512,0.170601908425762
0100-dwfn-b_0,1954,60186.3123835092,359619.917346979,0.976644404456759,0.172570508891934,2.28334646291184,0.839401635757294
0100-dwfn-b_0,1955,24825.8438383102,309227.300321978,0.843347425904905,0.0758785831828397,1.95196652258377,0.369046326943447
0100-dwfn-b_0,1956,25588.2457776862,298588.440477219,0.821983520940378,0.0840085213097576,1.91240513700395,0.406974792888092
0100-dwfn-b_0,1957,39134.0153596661,285581.786862698,0.782556568291204,0.137977497224902,1.80244250074685,0.666809937095982
0100-dwfn-b_0,1958,36985.8498269195,256795.518343634,0.706094635378856,0.142297879853672,1.60718280309602,0.684902512778062
0100-dwfn-b_0,1959,30266.8717248924,240607.812240549,0.6655000887349,0.123457704356597,1.51247061249279,0.589593825485516
0100-dwfn-b_0,1960,32245.0247986495,233956.500276156,0.639440047683059,0.135240881755115,1.46525430808106,0.653968040426402
0100-dwfn-b_0,1961,40752.0104107477,224265.197376199,0.611695465777525,0.177832041938568,1.40463691706688,0.859687987378034
0100-dwfn-b_0,1962,40032.7041646032,209285.4791951,0.575264938145943,0.187493744752311,1.31707185014777,0.915941141394704
0100-dwfn-b_0,1963,37191.2596393458,193090.870930331,0.528043856050584,0.18615338019455,1.21209991293349,0.914907134759364
0100-dwfn-b_0,1964,19346.5450261323,179733.427570041,0.498600471961003,0.0990321033627763,1.13886290657637,0.487201447052166
0100-dwfn-b_0,1965,24839.4337759833,185477.127167798,0.507714297572483,0.125831557466636,1.18206180147041,0.60741741205016
0100-dwfn-b_0,1966,36396.9327888796,185742.571984567,0.504804187016291,0.193558524123441,1.17061358446235,0.93985412028083
0100-dwfn-b_0,1967,17441.4322708774,170679.723590191,0.46969135773828,0.0937994893260244,1.07083340899011,0.451400580067385
0100-dwfn-b_0,1968,18488.1347900829,181473.663311224,0.494609503959249,0.0954230901368168,1.13458308093054,0.470444329268691
0100-dwfn-b_0,1969,18210.9114923368,186136.327032663,0.508553010872198,0.090750962802127,1.17343419120359,0.438836660686844
0100-dwfn-b_0,1970,24727.9398165745,194011.793888129,0.53296599816123,0.117607830623595,1.22971991802049,0.568737677421806
0100-dwfn-b_0,1971,33791.3261333289,198773.654113668,0.549076914848383,0.163273932445945,1.26190489002154,0.796106255474274
0100-dwfn-b_0,1972,32118.2856492048,189668.569749147,0.526782875856039,0.164098342190496,1.21281672812232,0.801398620889757
0100-dwfn-b_0,1973,31643.3229562714,179993.661276433,0.49453530623996,0.167308845968628,1.13974961696217,0.820410856542117
0100-dwfn-b_0,1974,32330.4375942046,174620.238549545,0.483315753657684,0.177050668361442,1.09398407848963,0.88157402839059
0100-dwfn-b_0,1975,17654.7174746159,167455.15067595,0.458784522627897,0.092355997500542,1.05211147026288,0.453922377175409
0100-dwfn-b_0,1976,21812.3771846628,182436.184213543,0.497809545715749,0.109937462302369,1.15154291114657,0.53934253301574
0100-dwfn-b_0,1977,23222.3221508392,186806.828310765,0.516902523874507,0.111179516737373,1.19809178403462,0.54547539639934
0100-dwfn-b_0,1978,20100.0220281159,192069.052204588,0.531814978466424,0.0909236295863611,1.22261919109867,0.445633989125296
0100-dwfn-b_0,1979,26538.8419482309,204064.479122632,0.567808960857375,0.122460648879452,1.3081979491092,0.596748415048397
0100-dwfn-b_0,1980,36719.8279732684,200028.958948224,0.55466809471011,0.182780252291637,1.26971690825684,0.878834055824597
0100-dwfn-b_0,1981,38832.2466571039,184437.832440969,0.502522650468892,0.204742333745815,1.16297254997927,0.996854017095117
0100-dwfn-b_0,1982,32692.548377752,171913.501674335,0.467679884980587,0.184828370207063,1.08534267973037,0.902762928882999
0100-dwfn-b_0,1983,23407.883875919,159348.558096191,0.435221891872363,0.136258269137304,1.01448073145243,0.670373557860164
0100-dwfn-b_0,1984,23557.6684956001,159857.017325339,0.435765634420318,0.14028334934687,1.00950595195072,0.692035424012285
0100-dwfn-b_0,1985,26773.890560108,155340.177209566,0.423165536834046,0.165496690491131,0.977900019357783,0.81018868427929
0100-dwfn-b_0,1986,20223.2179063751,150120.024504781,0.407722122330808,0.123367377248352,0.944827567984513,0.597533831128814
0100-dwfn-b_0,1987,19260.5718797456,153215.149145674,0.421107936798307,0.113918329483022,0.976649902333074,0.544889092969132
0100-dwfn-b_0,1988,33474.6551715582,161372.059327119,0.445002982391331,0.190268079321935,1.0322177022631,0.904252963601703
0100-dwfn-b_0,1989,29801.9887082536,157992.199335692,0.439225157169251,0.173948540763221,1.01233648721808,0.85350473625432
0100-dwfn-b_0,1990,25339.9832703132,156542.2106014,0.431703383905156,0.154919957991807,0.992746111617646,0.755361522411464
0100-dwfn-b_0,1991,22328.7294674184,153117.547401685,0.418770288361455,0.138253648235156,0.956603353145862,0.673116663056371
0100-dwfn-b_0,1992,23569.9679633737,151484.961270731,0.416334315376019,0.14210483006265,0.962477660335102,0.691084907670596
0100-dwfn-b_0,1993,23201.0197084796,157459.656153728,0.434439154500588,0.128621301041952,0.990118855556541,0.627292468368336
0100-dwfn-b_0,1994,31748.9223820446,168193.729735088,0.465544159828029,0.16853581359309,1.07040602897472,0.815945720558655
0100-dwfn-b_0,1995,29534.8897996236,171059.704208952,0.476134322885748,0.154769678825309,1.09896555018376,0.75138496547955
